Japanese;English;French;German;
"さいだい 4にんまで
カードをもっていないひととも
たいせんできます";"Four-player max.
Only one Game Card is
needed to play.";"Jouez jusqu'à quatre
même si les autres joueurs
n'ont pas de carte DS.";"Bis zu 4 Spieler.
Keine weiteren
DS-Karten nötig.";
"たいせんあいてを さがしています・・・";"Searching for other players...";"Recherche de participants...";"Suche nach Mitspielern...";
"エントリーをしめきる";"Close Room";"Valider";"Spiel beginnen";
"たいせんあいて ぼしゅうちゅう・・・";"Now recruiting players...";"Recherche de participants...";"Suche nach Mitspielern...";
"はいりたいグループをタッチしてください";"Tap the group you want to join.";"Touchez un groupe pour y entrer.";"Berühre das gewünschte Spiel.";
"ほかのさんかしゃを まっています・・・";"Waiting for other players...";"En attente de participants...";"Warte auf Mitspieler...";
"リストからさくじょ";"Delete from List";"Effacer";"Entfernen";
"[Unknown_Tag]";"[Unknown_Tag]";"[Unknown_Tag]";"[Unknown_Tag]";
"さいごにたいせんしたひ";"Last Played";"Dernier combat le:";"Letztes Duell:";
"[Unknown_Tag]";"[Unknown_Tag]";"[Unknown_Tag]";"[Unknown_Tag]";
"たいせんしゃリスト";"Player List";"Participants";"Spielerliste";
"よーし 城下町についたぞ！


なんとか 汽車の運転も
さまになってきたな！

これなら 一人前の機関士として
やっていけるだろう！
さあ 任命式に行って来い
任命式は 城の中で行う
城は ここを上に向かえばいい

がんばってこい！";"You got us to Castle Town!


And you know what else?
You look good handling a
train!
That's the surest sign
you're going to make a
great engineer.
Now just head to the castle
for your graduation
ceremony.
It's to the north. You can't
miss it. Good luck now!";"Voilà! On est arrivés à la
citadelle!

T'es devenu un vrai pro de
la conduite!

Tu feras sûrement un très
bon conducteur! Allez,
rends-toi à la cérémonie.
Elle aura lieu au château,
au nord d'ici.

Courage!";"So, da wären wir!
Hyrule-Stadt!

Das war nicht schlecht,
Kleiner!

Du hast das Zeug zu einem
richtigen Lokführer.

Jetzt wird es Zeit für deine
Zeremonie. Das Schloss ist
nördlich von hier.
Alles Gute!";
"さあ 早く城にいかんか！
任命式をうければ おまえも
立派な 機関士となれる！
ゼルダ姫さまに そそうの
ないようにな！";"Head on over to the castle
now. Once the ceremony is
done, you'll be an engineer!
Don't keep Princess Zelda
waiting!";"Allez, file au château!
Après la cérémonie, tu
seras un vrai conducteur!
Et surtout, tiens-toi bien
devant la princesse Zelda!";"Auf ins Schloss mit dir!


Nach der Zeremonie dort
bist du dann ein echter
Lokführer.
Aber benimm dich ordentlich
vor der Prinzessin!";
"なんだ [Link]・・・
やけに 遅かったな！

おい！ おまえなんで
そんな格好してるんだ・・・？？";"What took you so long,
[Link]?

Did you keep me waiting
just so you could change
clothes?";"Tu es très en retard,
[Link]!

Qu'est-ce qui t'est arrivé?
Et qu'est-ce que c'est que
cette tenue?";"Das hat ja ewig gedauert!


Was ist denn los mit dir,
[Link]?";
"ひ！ 姫さま！！
なぜ 姫さまがここに・・・！";"Oh! Your Highness!
What are you doing here?";"Vo... Votre Altesse!
Que faites-vous ici?";"Prinzessin Zelda! Was führt
Euch denn hierher?";
"こんにちは シロクニ
元気にしていましたか？

貴方が城の兵士をやめてから
大きな掛け声が聞けなくなった
ので さみしく 思ってましたよ";"Hello, Alfonzo! Have you
been well?

I'm so sorry we haven't
spoken since you left the
castle guard.
I must admit, I miss hearing
you bellowing orders in the
courtyard.";"Bonjour, Gasto.
Comment allez-vous?

Le château est tristement
calme depuis que vous
avez quitté la garde.
Votre grosse voix me
manque. ";"Guten Tag, Ferro!
Wie geht es dir?

Schade, dass du nicht mehr
bei der Wache bist.";
"神の塔に？
また どうしてですか？";"To the Tower of Spirits?
Whatever for?";"La tour des dieux?
Mais pour quoi faire?";"Zum Turm der Götter?
Warum?";
"今は ゆっくりお話し
してる 時間はありません！

汽車の中で
説明いたします！";"We don't have time to
discuss it right now!

I'll tell you all about it
when we're aboard.";"Je n'ai pas le temps de
vous expliquer pour
l'instant!
Je vous expliquerai les
détails en route!";"Wir haben jetzt keine Zeit
zum Reden!

Ich erkläre alles unterwegs!";
"しかし・・・
万が一 何かあれば・・・";"But what if something
happens?";"Mais... Si jamais il vous
arrivait quelque chose...";"Aber...
Wenn Euch etwas zustößt...";
"その 万が一のために
貴方が必要なのです

かつて ハイラル国 随一の
剣士と呼ばれた 
貴方の力が・・・";""If something happens" is
exactly why I need you!

You were once the greatest
swordsman in the whole
kingdom.";"C'est justement pour ça
que j'ai besoin de vous.

Vous qui étiez autrefois
la plus fine lame de tout
le royaume d'Hyrule...";"Dafür bist du ja da, um
mich zu beschützen!

Man nannte dich schließlich
einmal den besten
Schwertkämpfer des Landes!";
"そんな 昔の話は
おやめください！

今は 片田舎で暮らしてる
ただの機関士であります！

それよりも 気は進みませんが
姫さまのたっての希望とあらば
私もお供します！";"Yes, but that was a long
time ago.

Now I'm just a simple train
engineer, living in the
countryside.
I can't be more than that,
but I'll come along with you
if you wish.";"Tout cela, c'est de
l'histoire ancienne...

Je ne suis plus qu'un simple
conducteur de train qui
s'est retiré à la campagne.
Mais si tel est votre désir,
je vous accompagnerai,
Votre Altesse!
Même si je n'aime pas
beaucoup ça...";"Ja, aber das ist lange her.


Ich lebe jetzt zurückgezogen
als einfacher Lokführer.
Mehr will ich nicht sein.
Aber da es der Wunsch
meiner Prinzessin ist, werde
ich mitkommen.";
"ありがとう シロクニ！";"Thank you, Alfonzo.";"Merci infiniment, Gasto!";"Danke, Ferro!";
"いやはや めんぼくない
大声だけが とりえでしたので
・・・・・";"You're too kind to me. I'm
sure hearing me yell all day
was far from pleasant.";"Alors le seul souvenir que
vous avez de moi, c'est ma
grosse voix...";"Ich fühle mich geehrt. Aber
wir können später über alte
Zeiten reden...";
"[Link]！ 
おまえ！ まさか・・・";"Are you responsible for this
somehow, [Link]?";"[Link]!
Ce n'est quand même
pas toi qui...";"Ist das irgendwie die Schuld
von [Link]?";
"・・・って そんな事を
言ってる場合じゃありません！！

警護もつけずに なぜ
このようなところに！";"But you shouldn't distract
me with talk about the
old days!
I'll just come out and ask.
What are you doing here
without a proper escort?";"Non, ce n'est pas le moment
de penser à ça!

Pourquoi voulez-vous vous
rendre dans un tel endroit
sans escorte?";"Ich frage Euch jetzt ganz
ohne Umschweife:
Was macht Ihr hier?";
"[Link]には 
私からお願いしたのです

シロクニ！ 貴方も神の塔に
一緒に来てください！

貴方がいれば 私も安心です
";"I asked for his assistance.
And I hope I can count on
your help too, Alfonzo.
I'd feel much safer with
you at my side.

Please come with us to the
Tower of Spirits!";"Non, c'est moi qui ai
demandé à [Link]
de me venir en aide.
Gasto! Venez avec nous
à la tour des dieux!

Je serais rassurée de vous
savoir à mes côtés.";"Ich habe [Link]
gebeten, mich aus dem
Schloss zu bringen.
Komm mit uns zum Turm der
Götter, Ferro!

Wenn du mit dabei bist,
kann mir nichts geschehen!";
"よし [Link]！
神の塔に・・・・・・";"OK, [Link]!
To the Tower of Spirits!";"Bien, [Link]!
A la tou...";"Na dann, [Link]!
Zum Turm...";
"神の塔にむけて
出発進行！！";"Aaaaall aboooard!";"A la tour des dieux!
En route!";"Auf zum Turm der Götter!
Los geht's!";
"それは 私のセリフですって・・・";"That's my line...";"C'était ma réplique...";"Das ist eigentlich doch mein
Text...";
"お 任命式は
終わったのか？

ん 終わったけど・・・って
なんだよ！ 用事あるんなら
早く済ませて来い！";"Is the graduation ceremony
over?

What do you mean, "it's
over, but..."?

If you have something else
to do, hurry up and do it!";"La cérémonie est terminée?


Comment ça, "Elle est
terminée mais..."

Si tu as encore quelque
chose à faire, dépêche-toi!";"Ist die Zeremonie vorbei?


Was heißt da "Ja, aber..."?


Wenn du noch etwas zu
erledigen hast, dann beeil
dich!";
"よし 早く村に帰るぞ！
うんまって";"All right, let's get back to
Outset Village!
OKWait!";"Bien, rentrons au village!
Oui!Attends...";"So, dann schnell zurück
nach Hause!
Los!Moment!";
"なんだ 待っててやるから
早くしろ！！";"Fine, but hurry it up
already!";"D'accord, j'attends.
Mais dépêche-toi!";"Meinetwegen, aber mach
schnell!";
"よし 出発進行だ！！";"AAAAALL ABOOOOOARD!";"Bien, c'est parti!";"Alles einsteigen!";
"さあ モヨリ村に
向かいましょう！！";"Outset Village, here we 
come!";"Allez, en route pour le
village Prokis!";"Na, dann auf nach Prologia!";
"ああ お城が恋しいですわね


こんなことになるなら
たくさん おいしいもの
食べておけばよかったです
いえ 今はそんなことより・・
早く 出発しましょう！
うんまって";"I miss the castle already.


If I'd known this was going
to happen, I would've eaten
all my favourite dishes.
Now I don't even have a
stomach..

No, no, I can't think about
that now. We have to go!
Right!Hold on...";"Aaah, le château me
manque déjà...

Si j'avais su, j'aurais mangé
plein de bon petits plats.

Non! ce n'est pas le moment
de se lamenter! Allons-y!
D'accord!Attends...";"Ach, ich vermisse das
Schloss jetzt schon...
Hätte ich das gewusst...
Dann hätte ich noch einmal
richtig gegessen! Jetzt wird
das wohl nichts mehr...
Aber jetzt ist keine Zeit
zum Jammern! Fahren wir!
Genau!Später.";
"出発進行です！！";"AAAAALL ABOOOOOARD!";"En route!";"Alles einsteigen!";
"そうですか！ たまには
寄り道もいいものですものね！";"Really? OK. Well, I guess
it's nice to stop and smell
the roses sometimes!";"Tu as raison, il faut savoir
faire des détours de temps
en temps!";"Wirklich? Na gut.";
"シロクニが考えている
いい方法ってなんなのでしょう？

さあ シロクニといっしょに
モヨリ村に帰りましょう！";"I wonder what Alfonzo's 
good idea is?

Let's head back to your
home village with him!";"Je me demande ce que
Gasto a derrière la tête.

Bien, retournons à Prokis
avec lui!";"Ich frage mich, was für eine
Idee Ferro wohl hatte...

Fahren wir mit ihm zurück
in dein Heimatdorf!";
"[Link]！
さあ先を急ぎましょう!
うんまって";"Come on! Let's hurry,
[Link]!
Aye aye!Wait...";"Allez, en avant,
[Link]!
Oui!Attends!";"Fahren wir,
[Link]!
Los!Warte!";
"[Link]・・・
なんだか 魔物の攻撃が
はげしく なってきましたね
このまま 汽車で進むのは
厳しいですね・・・

え！？
出発するのですか？
いくやめる";"The monster attacks are
growing fiercer.

Setting out by train right
now could prove awfully
difficult.
What's that? You want to
drive out anyway?
YesNo way";"Les attaques des monstres
sont de plus en plus
violentes, [Link].
Tu vas avoir du mal à
continuer de rouler...

Comment? Tu veux quand
même repartir?
Oui!Non...";"Ich frage mich, wie es
Ferro geht. Wir sollten ihn
einmal besuchen.
Sollen wir fahren,
[Link]?
JaWarte!";
"わかりました・・
先を急ぎましょう！";"Then let's get moving!";"Alors dépêchons-nous!";"Dann fahren wir!";
"このままでは 先に
進めませんし 困りましたね";"Well, we can't really move
forward like this. Hmm...
What to do...";"On ne va pas pouvoir aller
bien loin comme ça. C'est
ennuyeux.";"Gut, sehen wir uns noch
etwas um.";
"やあ [Link]！
今日は 任命式の日だろ！

君たち 機関士のおかげで
ぼくたち町の者は どこかに
出かけたり・・・
物を運んだりできる 本当に
君たちのおかげだよ！

正式な機関士になったら
色々なところに
連れて行ってくれよ";"Hey there, [Link]!
So it's graduation day,
huh?
You know, I've always had
a lot of respect for
engineers.
Thanks to them, we can go
anywhere we want in the
kingdom.
Plus, they even transport
our goods to different
places for us.
Yep, I sure hope you'll take
me out for a spin 
sometime!";"Bonjour [Link]!
C'est aujourd'hui la
remise des diplômes!
C'est grâce à vous, les
conducteurs de train, que
nous pouvons voyager...
et aussi transporter des
marchandises. Nous vous en
sommes très reconnaissants.
A l'avenir, j'aimerais
beaucoup voyager à bord
de ton train.";"Ah, [Link]!
Heute ist ja die Zeremonie!

Dank euch Lokführern
können wir fahren, wohin
wir wollen!
Und nicht zu vergessen,
ihr transportiert unsere
Waren!
Wenn du erst Lokführer bist,
würde ich gern mit dir
reisen!";
"しかし この線路は いつ
誰が 作ったものなのか？

大昔 我々がこの地に 国を作る
以前から あったというのは
本当なのか？
機関士の君なら
何か知っているか？
知ってるさあ・・";"By the way, do you know
who built these railways?

People say that they've
been here since before we
came to this land.
But how could that be?
You're an engineer, right?

Do you know anything
about this?
I doWell...";"Je me demande qui a bien
pu construire ces voies.

On dit qu'elles existaient
avant même la fondation
du royaume sur ces terres.
Toi qui es conducteur,
tu le sais peut-être?
Bien sûr!Qui sait?";"Aber wo kommen die
Schienen eigentlich her?
Wer hat sie verlegt? 
Ob es wohl stimmt, dass
sie älter sind als das
Königreich?
Du als Lokführer weißt
das doch sicher, oder?
Klar!Äh...";
"見てみなさい！
線路が なくなってしまった・・・

これは 大変なことだよ！
我々の生活はこれから
どうなってしまうのか・・・";"Look at that! The tracks
leading to this city have
vanished too!
Now what are we supposed
to do?";"Regarde ça! Les voies ont
disparu.

Mais c'est horrible!
Qu'est-ce qu'on va
devenir?...";"Sieh nur!
Die Schienen sind einfach
verschwunden!
Wie soll es denn jetzt
weitergehen?";
"線路が消えてしまったと
思ったら また 元にもどったね・・・

いったい どうしたというんだ・・・";"I thought the rails had
disappeared, but I guess
they're back now.
What in the world is going
on here?";"Les voies avaient à
peine disparu qu'elles
ont réapparu...
Qu'est-ce qui a bien pu
se passer?";"Erst waren die Schienen
weg, jetzt sind sie wieder
hier...
Ich will mich nicht beklagen,
aber was geht hier vor?";
"そ・・そうか 君は
まだ子供だしな・・";"Oh, well... I guess I didn't
really expect a kid to know
the answer to that.";"Oui, c'est vrai... Tu n'es
encore qu'un enfant...";"Ach ja... Du bist ja noch
ein Kind.";
"ほう 神がおつくりになったと・・


面白い事をいうね 君も";"What's that you say?
The tracks were built...by
the spirits of good?
...Where do you get these
crazy ideas from?";"Comment? Elles auraient été
construites par les dieux?

Tu as vraiment beaucoup
d'imagination.";"Die Götter haben sie
erschaffen?

Wie kommst du denn
darauf?";
"[Link]！
やりましたね！！
お城を抜けられました！！
さあ 汽車に乗って 
神の塔に 向かいましょう！！";"We did it! We made it out
of the castle!

Now, let's board the train
and head for the Tower of
Spirits!";"Nous avons réussi, nous
sommes sortis du château!

Bien, montons dans ton
train, direction la tour des
dieux!";"Geschafft! Wir sind aus dem
Schloss draußen!

Jetzt schnell zum Zug und
dann zum Turm der Götter!";
"やあ ボウヤ！
よく来たね！！

ここは 人呼んで
エネミーアタック！ってんだよ！

たくさんの敵に囲まれて 剣で
倒す事を生きがいにする
男の中の男のためのゲームだよ
さあ あんたも 兵士の
はしくれなんだろ？

遊んでいくかい？
教えてやめる
";"Hello there, my green
friend! How are you?

This is where we play 
"Take 'Em All On!"

As the name suggests, your
mission is to knock down
every enemy in sight. 
Now make no mistake, this
isn't a game for the faint
of heart.
Want to play?
Maybe...Nah";"Bienvenue, jeune homme
en vert!

Ici, c'est la salle de
l'assaut incessant!

Ce jeu est fait pour les
hommes qui aiment faire
vibrer la lame de leur épée!
Ceux qui ne craignent pas
d'être encerclés par des
hordes d'ennemis!
Tu veux devenir soldat,
n'est-ce pas?

Ça te dit d'essayer?
OuiNon";"Hallo, mein grün
gekleideter Freund!

Willkommen bei
"Einer gegen alle"!

Hier geht es darum, sich
aus unzähligen Gegnern
freizukämpfen.
Ein Spiel nur für die
allermutigsten Haudegen!
Hast du das Zeug dafür?
Möchtest du es versuchen?
Jupp!Nee.";
"ふん これだから ケツの
青いガキは困るんだ・・・
とっとと 出ていきな！！";"Well, I've got no use for
lily-livered brats anyway!
Go on, get out of here!";"Hmpf! Voilà pourquoi je
n'aime pas les petits
morveux...
Allez, ouste!";"Hätte mir denken können,
dass du nicht hart genug
bist...";
"ふふ さすが いい目をしてる
だけのことはあるね！
よく 聞きなよ";"Is that a twinkle I see in
your eye? OK, listen up,
greeny.";"Huhu... Oui, j'aime ton
regard, jeune homme en
vert!
Ecoute-moi bien.";"Sehr gut, grüner Junge!
Deine Entschlossenheit
gefällt mir! Also, pass auf!";
"よーし では 一回
20ルピーだ！！いいね？
おうやめる";"Playing once costs 50
Rupees, OK?
Yup!No way!";"Bien, une partie coûte
50 rubis! Ça te va?
Ouaip!Euh, non";"Ein Versuch kostet nur
50 Rubine. Toll, oder?
Ja.Teuer!";
"そうか まだ アンタには
早すぎたかね！？

また 気がかわったら
おいで ボウヤ！";"Heh heh heh! A little too
rich for your blood, eh?

If you change your mind, I'll
be waiting, greeny!";"Je vois, tu ne te sens pas
encore prêt...

Reviens me voir si tu
changes d'avis, jeune
homme!";"Ah, vielleicht bist du doch
noch etwas ZU grün...

Wenn du es dir anders
überlegst, komm vorbei!";
"なんだ お金ないじゃないか！！
お金をためてから またおいで！";"What's this? You don't
have the cash! Come back 
when you've saved up!";"Mais tu n'as pas d'argent!
Reviens quand tu auras
économisé assez d'argent!";"Hey, du kannst gar nicht
zahlen! Komm wieder, wenn
du genug Geld hast!";
"よーし それじゃ！
一番 右の扉を あける！

さあ エネミーアタックの世界へ
行っておいで
";"Good! Then I'll open the
door on the right!

Have fun in the wonderful,
wacky world of "Take 'Em
All On"!";"Très bien! J'ouvre la porte
la plus à droite!

Allez, entre dans le monde
de l'assaut incessant!";"Na dann!
Geh durch die Tür ganz
rechts!
Willkommen in der Welt von
"Einer gegen alle"!";
"ふふ また来たね！ ボウヤ
エネミーアタックするかい？
ぜひやめる";"Ho ho! Back for more,
boy? 

You sure you want to 
play?
Yes!No";"Huhu! Te revoilà, jeune
homme!

Tu veux t'essayer à
l'assaut incessant?
Oui!Non merci";"Da bist du ja wieder? Lust
auf "Einer gegen alle"?
Auf sie!Nein.";
"そう・・ 無理にとは
言わないよ！！

さっさと 帰って 
かあちゃんに甘えるんだね！";"Then you'd better run home!
Go cry to your mum!";"D'accord... Je ne te force
pas!

Allez, retourne pleurer dans
les jupes de ta mère!";"Warum sprichst du mich
dann an, hä?
Geh nach Hause zu Mami!";
"説明 もう一回聞くかい？
おねがいもういい";"Want to hear how it works
again?
SureNo";"Veux-tu que je t'explique
à nouveau?
Oui!Ça ira";"Soll ich's noch einmal
erklären?
Bitte!Nein.";
"なあに ルールは簡単さ
今から この扉を開けて
中に入れてあげる
この扉の奥は 魔物
ばかりが出てくる それは
恐ろしいところさ！
ボウヤは そこに出てくる魔物を
すべて 倒してダンジョンの奥
まで進み ゴールを目指せばいい
ただし！
回復なんかの補給は
いっさいないし 
場所によってはあんたの持ってる
アイテムが使えない時も
あるからね！ 
よく考えて 進まないと すぐ
ジ・エンドだよ！！

さあ どうだい エネミーアタック
を体験してみるかい？
やるやめる";"It's simple! I'll open a door
for you in a second.

Just past the door is a
monster-infested dungeon.
It's no place for weaklings!
Your goal is to get rid of
all the baddies and get to
the end of the dungeon.
However, there's no way
to get more health when
you're in. None at all!
Depending on where you
are, your items won't work
either, so watch out!
If you don't pay attention, 
it'll be lights out before 
you know it, greeny.
Now, what'll it be? Want to
play "Take 'Em All On"?
Yeah!Nope";"Les règles sont très simples!
Je vais ouvrir cette porte
pour te laisser entrer.
C'est un endroit terrifiant
qui grouille de monstres!

Tu devras tous les vaincre
et sortir du palais sain et
sauf.
Mais attention! Il n'y aura
aucun objet te permettant
de te soigner.
Et dans certains endroits,
il te sera impossible de te
servir de certaines armes.
Tu dois être extrêmement
prudent ou ce sera la fin!

Alors, veux-tu t'essayer à
l'assaut incessant?
Oui!Non...";"Die Regeln sind einfach.
Öffne diese Tür und betritt
die Arena dahinter.
In dieser Arena wimmelt es
nur so von Monstern!

Du musst alle Monster
besiegen und ans Ende der
Arena vordringen.
Unterwegs wirst du keine
Heilung finden.

Je nach Arena stehen dir
sogar bestimmte Items
nicht zur Verfügung.
Außerdem solltest du
dich beeilen, sonst ist
der Spaß vorbei!
Willst du jetzt immer noch
spielen?
Klar!Nee.";
"なんだい ボウヤ・・
ここは あんたのような
お子さまがくる場所じゃあないよ
さっさと 帰って
かあちゃんに 甘えな！";"This isn't a place for
kids, kid.

Go home to your mummy!";"Hé, p'tit gars... C'est pas
un endroit pour les gamins,
ici.
Retourne dans les jupes de
ta mère!";"Das hier ist kein Ort für
Knirpse wie dich.
Ab nach Hause mit dir!";
