Japanese;US English;French;German;
"炎の塔　～暗闇～";"Tower of Flames
(Dark World)";"Tour des Flammes
(Monde des Ténèbres)";"Turm des Feuers
(Schattenwelt)";
"風の塔　～暗闇～";"Tower of Winds
(Dark World)";"Tour des Vents
(Monde des Ténèbres)";"Turm der Winde
(Schattenwelt)";
"ハイラル城　～暗闇～";"Hyrule Castle
(Dark World)";"Château d'Hyrule
(Monde des Ténèbres)";"Schloss Hyrule
(Schattenwelt)";
"雲の上で　～暗闇～";"Above the Clouds
(Dark World)";"Nuages
(Monde des Ténèbres)";"Über den Wolken
(Schattenwelt)";
"果てしない敵の中で";"Among Endless Enemies";"Among Endless Enemies";"Armee der Zahllosen";
"果てしない敵の中で　２";"Among Endless Enemies 2";"Among Endless Enemies 2";"Armee der Zahllosen 2";
"Lev1　風の行方";"Level 1
Whereabouts of the Wind";"Niveau 1
Et le Vent se leva";"Level 1
Die Spur des Windes";
"Lev2　ハイラルの東";"Level 2
Eastern Hyrule";"Niveau 2
A l'Est d'Hyrule";"Level 2
Osten von Hyrule";
"Lev3　デスマウンテン";"Level 3
Death Mountain";"Niveau 3
Montagne de la Mort";"Level 3
Todesberg";
"Lev4　草原地方";"Level 4
Near the Fields";"Niveau 4
A l'orée des Champs";"Level 4
Die Ebene";
"Lev5　暗黒の世界";"Level 5
The Dark World";"Niveau 5
Monde des Ténèbres";"Level 5
Die Schattenwelt";
"Lev6　あやしの砂漠";"Level 6
The Desert of Doubt";"Niveau 6
Désert du Doute";"Level 6
Wüste der Irrungen";
"Lev7　雪のハイラル";"Level 7
Frozen Hyrule";"Niveau 7
Hyrule sous la Neige";"Level 7
Eiszeit in Hyrule";
"Lev8　天上の世界";"Level 8
Realm of the Heavens";"Niveau 8
Contrée des Cieux";"Level 8
Himmelsgefilde";
"広大なハイラルを舞台に
アドベンチャー！
フォーソードの力で
ハイラルを救え！";"Adventure across
Hyrule, and free
the realm with the
mighty Four Sword!";"Aventure-toi dans
le royaume d'Hyrule
et libère-le grâce
à la force de
l'Epée de Quatre!";"Reise durch Hyrule
und befreie das
Königreich mit
dem mächtigen
Schwert der Vier!";
"問答無用の対戦モード

全てのライバルを倒す
最強のシャドウリンクは
誰だ？";"Defeat your rivals
and prove who's the
strongest Shadow
Link of all!";"Ecrase tes rivaux et
montre-leur qui est
le plus fort des
Link noirs!";"Triumphiere über
deine Gegner und
beweise, dass du
der stärkste
Schatten-Link bist!";
"テトラ達の声を聞きながら
海賊修行

メダルを一番多く集める
のは誰だ？";"Pirate training with Tetra
issuing the orders!

Who can collect the
most medals?";"Pirate training with Tetra
issuing the orders!

Who can collect the
most medals?";"Pirate training with Tetra
issuing the orders!

Who can collect the
most medals?";
"振動";"Rumble
Feature";"Fonction
Vibration";"Rumble-
Funktion";
"オン";"ON";"Oui";"AN";
"オフ";"OFF";"Non";"AUS";
"ポートの　コントローラが外れました。
タイトル画面へ　戻ります。";"The Controller in Socket 
was removed. Now returning
to the title screen.";"La manette dans le port 
a été retirée.
Retour à l'écran titre.";"Controller in
Anschlussbuchse 
wurde entfernt. Zurück
zum Titelbildschirm.";
"ポートの　ＧＢＡと通信できません。
タイトル画面へ　戻ります。";"The Game Boy Advance in
Socket  was removed. Now
returning to the title screen.";"La Game Boy Advance dans
le port  a été retirée.
Retour à l'écran titre.";"Verbindung zum GBA in
Anschlussbuchse 
ist unterbrochen!
Zurück zum Titelbildschirm.";
"アドバンスゲーム";"Game Boy Advance Game";"Jeu Game Boy Advance";"Game Boy Advance-Spiel";
"コントローラーゲーム";"Controller Game";"Jeu Manette";"Controller-Spiel";
"ハイラルアドベンチャー";"Hyrulean Adventure";"L'Epopée d'Hyrule";"Abenteuer Hyrule";
"シャドウバトル";"Shadow Battle";"Bataille de l'Ombre";"Schattenschlacht";
"ナビ・トラッカーズ";"Tetra's Trackers";"Tetra's Trackers";"Tetra's Trackers";
"ライバルを倒して、勝ち残れ！";"Fight to the Finish!";"Bats-toi sans limite!";"Kämpfe bis zum Ende!";
"フォースを集めて、ゴールをめざせ！";"Gather Force Gems and get to the goal!";"Récupère les
Gemmes et fonce!";"Sammle Force-Kristalle
und laufe ins Ziel!";
"フォース";"Force";"Force";"Force";
"ハートの残り";"Hearts
Remaining";"Cœurs
restants";"Übrige
Herzen";
"ミスした回数";"Number of misses";"Nombre de coups manqués";"Fehlpässe";
"コンボ";"Combo";"Combo";"Combos";
"ノーダメージボーナス";"No Damage Bonus";"Pas de bonus dégâts";"Kein Schadens-Bonus";
"コースレコード";"Course Record";"Record Course ";"Kurs-Rekord";
"新記録！";"New Record!";"Nouveau record!";"Neuer Rekord!";
"結果発表";"Results";"Résultats";"Ergebnisse";
"リンク　急いで！";"Hurry, Link!";"Dépêche-toi, Link!";"Beeil dich, Link!";
"スロットＡにメモリーカードが
見つかりません。
メモリーカードの接続を
確認してください。";"No Memory Card found
in Slot A.
Insert a Memory Card.";"Aucune Memory Card (carte
mémoire) n'est détectée dans le
Slot A. Insérez une Memory Card
(carte mémoire).";"Es befindet sich keine
Memory Card in Steckplatz A.
Bitte Memory Card einstecken.";
"スロットＡのメモリーカードは
こわれているので使用できません。";"The Memory Card in Slot A
is damaged and cannot be used.";"La Memory Card (carte mémoire)
dans le Slot A est endommagée
et ne peut pas être utilisée.";"Die Memory Card in Steck-
platz A ist beschädigt und
kann nicht verwendet werden.";
"スロットＡには
メモリーカード以外のものが
ささっています。";"The device inserted in Slot A
is not a Memory Card. Please
insert a Memory Card into Slot A.";"L'objet inséré dans le Slot A
n'est pas valide. Remplacez-le
par une Memory Card (carte
mémoire).";"Das Objekt in Steckplatz A
wird nicht als Memory
Card anerkannt. Bitte
eine Memory Card in
Steckplatz A einstecken.";
"スロットＡのメモリーカードには
対応していません。";"The Memory Card in Slot A
is not the original Memory
Card. Please insert the
original Memory Card.";"La Memory Card (carte mémoire)
dans le Slot A n'est pas la
Memory Card d'origine. Insérez
la Memory Card (carte mémoire)
d'origine.";"Die Memory Card in 
Steckplatz A ist nicht
die ursprüngliche Memory
Card. Bitte die ursprüng-
lich verwendete einstecken.";
"スロットＡのメモリーカードは
データがこわれているので
初期化が必要です。
初期化しますか？

はい　　　　いいえ";"The Memory Card in Slot A
is corrupted and needs to
be formatted.
Do you want to format?

Yes    No";"La Memory Card (carte
mémoire) dans le
Slot A contient des
données corrompues et
a besoin d'être formatée.
Voulez-vous la formater?

Oui    Non";"Die Memory Card in Steck-
platz A ist fehlerhaft und
muss formatiert werden.
Soll sie formatiert werden?

Ja    Nein";
"スロットＡのメモリーカードに
空き容量がないか、ファイル数の
制限を超えてしまいます。
このゲームをセーブするには
ファイル１つと３ブロックの
空き容量が必要です。";"There is insufficient free space
on the Memory Card in Slot A.
The Legend of Zelda: Four
Swords Adventures requires
1 file and 3 blocks to create
a new save file.";"Il n'y a pas assez d'espace libre
sur la Memory Card (carte
mémoire) dans le Slot A. The
Legend of Zelda: Four Swords
Adventures nécessite 1 fichier
et 3 blocs pour être sauvegardé.";"Es befindet sich nicht genug
freier Platz auf der Memory
Card in Steckplatz A.
The Legend of Zelda: Four
Swords Adventures benötigt z.
Speichern 1 Datei und 3 Blöcke.";
"スロットＡのメモリーカードは
このゲームでは使用できません。";"The Memory Card in Slot A
is corrupted and cannot be
used.";"La Memory Card (carte
mémoire) dans le Slot A est
corrompue et ne peut pas être
utilisée.";"Die Memory Card in Steck-
platz A ist fehlerhaft und
kann nicht verwendet werden.";
"初期化すると
メモリーカード内の
データはすべて消えます。
よろしいですか？

はい　　　　いいえ";"Formatting the Memory Card
will erase all previously saved
data. Do you want to format?

Yes    No";"Formater la Memory Card
(carte mémoire) entraînera
la perte de toutes les
données.
Voulez-vous continuer?

Oui    Non";"Durch das Formatieren der
Memory Card werden alle zuvor
gespeicherten Daten gelöscht.
Trotzdem formatieren?

Ja    Nein";
"初期化しています。

メモリーカードや
パワーボタンに
さわらないでください。";"Formatting...

Do not touch the Memory Card
in Slot A or the POWER Button.";"Formatage en cours.

Ne touchez pas à la
Memory Card (carte
mémoire) dans le Slot
A ni au bouton POWER.";"Formatieren...
Bitte nicht die Memory Card in
Steckplatz A entfernen u. nicht
den POWER-Schalter betätigen.";
"初期化しました。";"Formatting complete.";"Formatage terminé.";"Formatieren beendet.";
"初期化に
失敗した可能性があります。";"An error occurred
during formatting.";"Une erreur est survenue
pendant le formatage.";"Beim Formatieren
ist ein Fehler
aufgetreten.";
"スロットＡのメモリーカードに
このゲームのファイルを
つくりますか？ 

はい　　　　いいえ";"Would you like to create a
file for this game on the
Memory Card in Slot A?

Yes    No";"Voulez-vous créer un
fichier pour ce jeu
sur la Memory Card
(carte mémoire)
dans le Slot A?

Oui    Non";"Soll eine Datei für dieses Spiel
auf der Memory Card in
Steckplatz A erstellt werden?

Ja    Nein";
"スロットＡのメモリーカードには
このゲームをセーブする
ファイルがありません。";"There is no saved data for
this game on the Memory Card
in Slot A.";"Il n'y a pas de données
sauvegardées pour ce jeu sur la
Memory Card (carte mémoire)
dans le Slot A.";"Auf der Memory Card in
Steckplatz A befindet sich kein
Speicherstand für dieses Spiel.";
"ファイルをつくっています。

メモリーカードや
パワーボタンに
さわらないでください。";"Creating file...

Do not touch the Memory Card
in Slot A or the POWER Button.";"Création du fichier en cours.

Ne touchez pas à la Memory
Card (carte mémoire) dans le
Slot A ni au bouton POWER.";"Datei wird erstellt...
Bitte nicht die Memory Card in
Steckplatz A entfernen u. nicht
den POWER-Schalter betätigen.";
"ファイルをつくるのに
失敗した可能性があります。";"An error occurred, and a
file couldn't be created.";"Une erreur est survenue.
La création du fichier
a peut-être échoué.";"Ein Fehler ist aufgetreten. Eine
Datei konnte möglicherweise
nicht erstellt werden.";
"ファイルをつくりました。";"A file has been created.";"Un fichier a été créé.";"Eine Datei wurde erstellt.";
"セーブはできませんが
ゲームをはじめますか？

はい　　　　いいえ";"Continue without saving?

Yes    No";"Voulez-vous continuer sans
sauvegarder?

Oui    Non";"Ohne Speichern fortfahren?

Ja     Nein";
"データ選択";"Select Data";"Sélection des données";"Wähle Spieldaten.";
"このデータを消しますか？";"Erase this data?";"Effacer ces données?";"Diese Daten löschen?";
"消しています。";"Erasing data...";"Effacement des données...";"Löschen der Daten...";
"消しました。";"Data erased.";"Données effacées.";"Daten wurden gelöscht.";
"どこにコピーしますか？";"Where do you want to
copy this data to?";"Où copier ces données?";"Wohin sollen die Spieldaten
kopiert werden?";
"このデータに上書きコピーしますか？";"Overwrite existing data?";"Supprimer les données?";"Daten überschreiben?";
"コピーしています。";"Copying...";"Copie en cours.";"Kopiervorgang...";
"コピーしました。";"Data copied.";"Données copiées.";"Daten kopiert.";
"このデータはこわれています。
データの内容を消しますか？";"This game data is corrupted.
Erase this data?";"Les données sont corrompues.
Effacer les données?";"Die Spieldaten sind fehlerhaft.
Sollen sie gelöscht werden?";
"このデータはこわれています。
データの内容を消してコピーしますか？";"This game data is corrupted.
Erase data and copy new data?";"Les données sont corrompues.
Voulez-vous effacer les données
et copier les nouvelles données?";"Die Spieldaten sind fehlerhaft.
Sollen die Daten
überschrieben werden?";
"メモリーカードやパワーボタンに
さわらないでください。";"Do not touch the Memory Card
in Slot A or the POWER Button.";"Ne touchez pas à la Memory
Card (carte mémoire) dans le
Slot A ni au bouton POWER.";"Bitte nicht die Memory Card in
Steckplatz A entfernen u. nicht
den POWER-Schalter betätigen.";
"消すのに失敗した可能性があります。";"The data could not be erased.";"L'effacement a échoué.";"Die Daten konnten nicht
gelöscht werden.";
"コピーに失敗した可能性があります。";"The data could not be copied.";"La copie des données a échoué.";"Die Daten konnten nicht
kopiert werden.";
"はじめから";"New";"Nouveau";"Neu";
"セーブできません。

スロットＡにメモリーカードが
見つかりません。
メモリーカードの接続を
確認してください。";"Game could not be saved.

No Memory Card found in
Slot A.
Insert a Memory Card.";"La sauvegarde du jeu a échoué.

Aucune Memory Card (carte
mémoire) n'est détectée dans le
Slot A. Insérez une Memory Card
(carte mémoire).";"Spielstand konnte nicht
gespeichert werden.
Es befindet sich keine Memory
Card in Steckplatz A. Bitte
eine Memory Card einstecken.";
"セーブできません。

スロットＡのメモリーカードは
こわれているので使用できません。
スロットＡに
正常なメモリーカードを
差してください。";"Data could not be saved.

The Memory Card in Slot A
is damaged and cannot be used.
Insert another Memory Card
into Slot A.";"La sauvegarde des données a
échoué.

La Memory Card (carte
mémoire) dans le Slot A est
endommagée et ne peut
pas être utilisée.

Insérez une autre Memory Card
(carte mémoire) dans le Slot A.";"Die Daten konnten nicht
gespeichert werden.
Die Memory Card in Steck-
platz A ist beschädigt und
kann nicht verwendet werden.
Bitte eine andere Memory Card
in Steckplatz A einstecken.";
"セーブできません。

スロットＡには
メモリーカード以外のものが
ささっています。
スロットＡに
正常なメモリーカードを
差してください。 ";"Data could not be saved.

The device in Slot A
is not a Memory Card.
Insert a Memory Card
into Slot A.";"La sauvegarde des données a
échoué.

L'objet inséré dans le Slot A
n'est pas valide. Remplacez-le
par une Memory Card (carte
mémoire).";"Die Daten konnten nicht
gespeichert werden. Das Objekt
in Steckplatz A wird nicht
als Memory Card anerkannt.
Bitte eine Memory Card
in Steckplatz A einstecken.";
"セーブできません。

スロットＡのメモリーカードは
対応していません。
スロットＡに
正常なメモリーカードを
差してください。 ";"Data could not be saved.

The Memory Card in Slot A
is damaged and cannot be used.
Insert another Memory Card
into Slot A.";"La sauvegarde a échoué.

La Memory Card (carte mémoire)
dans le Slot A est endommagée
et ne peut pas être utilisée.
Insérez une autre carte mémoire.";"Die Daten konnten nicht
gespeichert werden. Die
Memory Card in Steckplatz A
ist beschädigt und kann nicht
verwendet werden.
Bitte eine andere Memory Card
in Steckplatz A einstecken.";
"スロットＡのメモリーカードは
データがこわれているので
初期化が必要です。
初期化しますか？

はい　　　　いいえ";"The Memory Card in Slot A
is corrupted and needs to
be formatted. Do you want
to format?

Yes    No";"La Memory Card (carte
mémoire) dans le Slot A
contient des données
corrompues et a besoin
d'être formatée.
Formater?

Oui    Non";"Die Memory Card in Steck-
platz A ist fehlerhaft und
muss formatiert werden.
Soll sie formatiert werden?

Ja    Nein";
"セーブできません。

スロットＡのメモリーカードに
空き容量がないか、ファイル数の
制限を超えてしまいます。
このゲームをセーブするには
ファイル１つと３ブロックの
空き容量が必要です。";"Data could not be saved.

There is insufficient free space
on the Memory Card in Slot A.
The Legend of Zelda: Four
Swords Adventures requires
1 file and 3 blocks to create
a new save file.";"La sauvegarde a échoué.

Il n'y a pas assez d'espace libre
sur la Memory Card (carte
mémoire) dans le Slot A. The
Legend of Zelda: Four Swords
Adventures nécessite 1 fichier
et 3 blocs pour être sauvegardé.";"Die Daten konnten nicht
gespeichert werden.
Es befindet sich nicht genügend
freier Platz auf der Memory
Card in Steckplatz A.
The Legend of Zelda: Four
Swords Adventures benötigt z.
Speichern 1 Datei und 3 Blöcke.";
"セーブできません。

スロットＡのメモリーカードは
このゲームでは使用できません。
スロットＡに
正常なメモリーカードを
差してください。";"Data could not be saved.

The Memory Card in Slot A
is corrupted and cannot be used.
Insert another Memory Card
into Slot A.";"La sauvegarde des données a
échoué.

La Memory Card (carte mémoire)
dans le Slot A contient des
données corrompues et ne peut
être utilisée. Insérez une autre
Memory Card (carte mémoire)
dans le Slot A.";"Die Daten konnten nicht
gespeichert werden.
Die Memory Card in Steck-
platz A ist fehlerhaft und kann
nicht verwendet werden.
Bitte eine andere Memory Card
in Steckplatz A einstecken.";
"初期化すると
メモリーカード内の
データはすべて消えます。
よろしいですか？

はい　　　　いいえ";"Formatting the Memory
Card in Slot A will erase
all previously saved data.
Do you want to format?

Yes    No";"Formater la Memory Card
(carte mémoire) dans le
Slot A entraînera
la perte des données. 
Continuer le formatage?


Oui    Non";"Durch das Formatieren der
Memory Card werden alle
zuvor gespeicherten
Daten gelöscht.
Trotzdem formatieren?

Ja    Nein";
"初期化しています。

メモリーカードや
パワーボタンに
さわらないでください。";"Formatting...

Do not touch the Memory
Card in Slot A or the
POWER Button.";"Formatage en cours.

Ne touchez pas à la
Memory Card (carte
mémoire) dans le Slot
A ni au bouton POWER.
";"Formatieren...
Nicht die Memory Card
in Steckplatz A entfernen
und nicht den
POWER-Schalter betätigen!";
"初期化しました。";"Formatting complete.";"Formatage terminé.";"Formatieren beendet.";
"初期化に
失敗した可能性があります。 ";"An error occurred
during formatting.";"Une erreur est survenue
pendant le formatage.";"Ein Fehler ist beim
Formatieren aufgetreten.";
"スロットＡのメモリーカードに
このゲームのファイルを
つくりますか？ 

はい　　　　いいえ";"Would you like to create a
file for this game on the
Memory Card in Slot A?

Yes    No";"Créer un fichier pour
ce jeu sur la Memory Card
(carte mémoire)
dans le Slot A?

Oui    Non";"Soll eine Datei für dieses
Spiel auf der Memory Card
in Steckplatz A
erstellt werden?

Ja    Nein";
"セーブできません。

スロットＡのメモリーカードには
このゲームをセーブする
ファイルがありません。 ";"Could not save.

There is no data for this
game on the Memory Card
in Slot A.";"La sauvegarde a échoué.

Aucune donnée n'est détectée
pour ce jeu sur la Memory Card
(carte mémoire) dans le Slot A.";"Speichern nicht möglich.

Auf der Memory Card in
Steckplatz A befindet sich kein
Speicherstand für dieses Spiel.";
"ファイルをつくっています。

メモリーカードや
パワーボタンに
さわらないでください。";"Creating game data...

Do not touch the Memory
Card in Slot A or the
POWER Button.";"Création des données
en cours.
Ne touchez pas à
la Memory Card
(carte mémoire) ni
au bouton POWER.
";"Datei wird erstellt...
Nicht die Memory Card
in Steckplatz A entfernen
und nicht den
POWER-Schalter betätigen!";
"ファイルをつくるのに
失敗した可能性があります。 ";"An error occurred, and a
file could not be created.
";"Une erreur est survenue.
La création du fichier
a peut-être échoué.";"Ein Fehler ist aufgetreten.
Eine Datei konnte
möglicherweise nicht
erstellt werden.";
"ファイルをつくりました。";"Creating file...";"Création du fichier
en cours.";"Datei wird erstellt...";
"セーブしますか？

はい　　　　いいえ";"Save?

Yes    No";"Voulez-vous sauvegarder?

Oui    Non";"Speichern?

Ja    Nein";
"セーブできません。

このデータは最後にセーブした
データではありません。 ";"Data could not be saved.

The Memory Card in Slot A
is not the original Memory
Card. Please insert the
original Memory Card.";"La sauvegarde des données
a échoué.

La Memory Card (carte
mémoire) dans le Slot A
n'est pas la Memory Card
(carte mémoire) d'origine.
Insérez la Memory Card
(carte mémoire) d'origine.";"Daten konnten nicht ge-
speichert werden. Die
Memory Card in Steck-
platz A ist nicht die ur-
sprüngliche Memory Card.
Bitte die ursprünglich
verwendete einstecken.";
"このデータはこわれています。
データの内容を消して
上書きしますか？ 

はい　　　　いいえ";"This data is corrupted.
Do you want to erase this
data and overwrite it?

Yes    No

";"Données corrompues.
Voulez-vous les effacer?

Oui    Non

";"Spieldaten sind fehlerhaft.
Sollen die Daten gelöscht
und überschrieben werden?

Ja    Nein

";
"セーブしています。
メモリーカードや
パワーボタンに
さわらないでください。 ";"Saving...

Do not touch the Memory
Card in Slot A or the
POWER Button.";"Sauvegarde en cours.

Ne touchez pas à la
Memory Card (carte
mémoire) ni
au bouton POWER.
";"Speichervorgang...
Bitte nicht die Memory
Card in Steckplatz A
entfernen und nicht den
POWER-Schalter betätigen.";
"セーブに
失敗した可能性があります。";"An error occurred
during saving.";"Une erreur est survenue
pendant la sauvegarde.";"Ein Fehler ist beim
Speichern aufgetreten.";
"セーブしました。";"Save complete.";"Sauvegarde terminée.";"Speichern beendet.";
"セーブしました。

ゲームをつづけますか？

はい　　　　いいえ";"Save complete.

Continue playing?

Yes    No";"Sauvegarde terminée.

Continuer à jouer?

Oui    Non";"Speichern beendet.

Das Spiel fortsetzen?

Ja    Nein";
"ゲームをつづけますか？ 

はい　　　　いいえ";"Continue playing?

Yes   No";"Continuer à jouer?

Oui   Non";"Das Spiel fortsetzen?

Ja   Nein";
"メモリーカードの内容の整理は
本体のメモリーカード画面で
おこなってください。 ";"Manage the Memory Card
on the Nintendo GameCube
Memory Card Screen.";"Pour gérer le contenu de
votre Memory Card (carte
mémoire), utilisez l'Ecran
Memory Card (carte mémoire).
";"Den Memory Card-Bildschirm
des Nintendo GameCube
aufrufen, um den Inhalt der
Memory Card zu verwalten.";
"本体のメモリーカード画面を
開きますか？


はい　　　いいえ";"Display Nintendo GameCube
Memory Card Screen?

Yes   No";"Voulez-vous afficher
l'Ecran Memory Card
(carte mémoire)?

Oui   Non";"Memory Card-Bildschirm
des Nintendo GameCube
aufrufen?

Ja   Nein";
"スロットＡに空き容量のある
メモリーカードを差すか
メモリーカードの内容の整理を
本体のメモリーカード画面で
おこなってください。";"Insert a Memory Card with
enough free space into
Slot A, or manage the data
on this Memory Card on the
Nintendo GameCube
Memory Card Screen.";"Insérez une Memory Card
(carte mémoire) avec assez
d'espace libre dans le
Slot A ou gérez son contenu
sur l'Ecran Memory Card
(carte mémoire).";"Memory Card mit genug
freiem Platz in Steckplatz A
einstecken oder Inhalt der
Memory Card verwalten im
Memory Card-Bildschirm
des Nintendo GameCube.";
"本体のメモリーカード画面を
開きますか？


はい　　　いいえ";"Display Nintendo GameCube
Memory Card Screen?

Yes   No";"Afficher l'Ecran Memory
Card (carte mémoire)?

Oui   Non";"Memory Card-Bildschirm
des Nintendo GameCube
aufrufen?

Ja   Nein";
"現在のゲーム内容は
セーブできませんが
よろしいですか？ 

はい　　　いいえ";"Game progress cannot
be saved.
Continue without saving?

Yes   No";"Echec de la sauvegarde.
Voulez-vous continuer
sans sauvegarder?

Oui   Non";"Spielstand kann nicht
gespeichert werden.
Ohne Speichern fortfahren?

Ja   Nein";
"フォース";"Force";"Force";"Force";
"ハートの器";"Heart Container";"Réceptacle de Cœur";"Herzcontainer";
"魔法の力";"Magic Power";"Pouvoir magique";"Magie";
"ＯＫ！";"OK!";"OK!";"O.K.!";
"Ｂ　…　キャンセル";"B: Cancel";"B: Annuler";"B: Abbruch";
"セーブして、２周目のゲームファイルを
作ります。今のデータも残したい時は
別のファイルにセーブしてください。
セーブしますか？ ";"";"";"";
"セーブせずに
タイトルにもどりますが
よろしいですか？";"Would you like to return to the
title screen without saving?";"Retourner à l'écran titre
sans sauvegarder?";"Ohne Speichern zurück
zum Titelbildschirm?";
"どのファイルにセーブしますか？";"To which file would you
like to save?";"Sauvegarder sur quel
fichier?";"Wohin soll die Spieldatei
gespeichert werden?";
"このデータに上書きセーブしますか？";"Overwrite this data and save?";"Effacer ces données
et sauvegarder?";"Diese Daten überschreiben
und speichern?";
"セーブしています";"Saving...";"Sauvegarde en cours.";"Speichervorgang...";
"セーブしました";"Save complete.";"Sauvegarde terminée.";"Speichern beendet.";
"１Ｐ";"P1";"J1";"1SP";
"ＶＳ";"Vs.";"Duel";"Vs.";
"オプション";"Options";"Options";"Optionen";
"オプション";"Options";"Options";"Optionen";
"サウンド";"Sound";"Son";"Sound";
"ステレオ";"Stereo";"Stéréo";"Stereo";
"モノラル";"Mono";"Mono";"Mono";
"言語";"Language";"Langue";"Sprache";
"英語";"English";"English";"English";
"フランス語";"French";"Français";"Français";
"ドイツ語";"German";"Deutsch";"Deutsch";
"イタリア語";"Italian";"Italiano";"Italiano";
"オランダ語";"Dutch";"Dutch";"Neder-
lands";
"スペイン語";"Spanish";"Español";"Español";
"２Ｐ";"P2";"J2";"SP2";
"３Ｐ";"P3";"J3";"SP3";
"４Ｐ";"P4";"J4";"SP4";
"ハイラルアドベンチャー";"Hyrulean Adventure";"L'Epopée d'Hyrule";"Abenteuer Hyrule";
"シャドウバトル";"Shadow Battle";"Bataille de l'Ombre";"Schattenschlacht";
"エントリー";"Entry";"Entrée";"Eingabe";
"ＯＫ？";"OK?";"OK?";"O.K.?";
"Ｐアドベンチャーは
すべて　ＧＢＡでないと
遊べません";"You cannot play all of the
-player game
without a Game Boy Advance.";"Impossible de jouer au
mode  joueurs
sans Game Boy Advance.";"Mehrspieler-Modi sind
nur spielbar mit
Game Boy Advance.";
"プレイヤーに対応したポートに
ＧＢＡを　台つないでください";"Connect  Game Boy Advance
game system, one per player.";"Connectez  Game Boy
Advance, une par joueur.";"Verbinde  Game Boy Advance-
Systeme. Eines pro Spieler.";
"コントローラを　台
つないでください";"Insert  Controllers.";"Insérez  manettes.";"Stecke  Controller ein.";
"スタート！";"START!";"Partez!";"START!";
"ハンディ";"Handicap";"Pénalité";"Handicap";
"レコード";"Records";"Records";"Rekorde";
"１Ｐ　ＷＩＮ！";"P1 WINS!";"J1 GAGNE!";"SP1 GEWINNT!";
"２Ｐ　ＷＩＮ！";"P2 WINS!";"J2 GAGNE!";"SP2 GEWINNT!";
"３Ｐ　ＷＩＮ！";"P3 WINS!";"J3 GAGNE!";"SP3 GEWINNT!";
"４Ｐ　ＷＩＮ！";"P4 WINS!";"J4 GAGNE!";"SP4 GEWINNT!";
