Japanese;English;French;German;
"赤い床をタッチすれば
△を置けるわよ

置いてから 前に進んでみて！";"Tap the red floor to place 
the △.

Once you place it, move
on!";"Touchez la zone rouge pour
y déposer la △.

Après l'avoir déposée,
passez à autre chose!";"Berühre den roten Boden, 
um das △ hinzulegen.

Wenn du es hingelegt hast,
lauf weiter!";
"赤い床に置くと △が赤くなって
上画面の得点表示がふえるわ

逆に　青い床に置いちゃうと
相手の得点になっちゃうから
気をつけてね
△には　大中小とサイズが
あって　大きくなるほど
重いけど　高得点よ
じゃあ　次にいくわよ
下に進んで！";"If you drop the △ on the
red floor, it'll turn red and
you'll earn points. 
But if you drop it on the
blue floor, your enemy will
earn points. So don't do it!
The △s come in small,
medium, and large sizes.

Bigger ones are heavier
but worth more points. Run
along to the next topic!";"En posant la △ sur la zone
rouge, elle devient rouge
et rapporte des points.
Mais si vous la posez sur
la zone bleue, vous donnez
des points à votre rival!
Les △ existent en plusieurs
tailles: petite, moyenne et
grande.
Les grandes sont plus
lourdes, mais valent plus
de points. Sujet suivant!";"Wenn du es auf dem roten 
Boden ablegst...

...wird das △ rot und dei-
ne Punkte auf dem oberen 
Bildschirm nehmen zu.
Wenn du es aber auf dem 
blauen Boden ablegst...

...erhält dein Gegner die 
Punkte, also gib Acht.

Es gibt kleine, mittlere und
große △. 

Die größeren sind schwerer,
aber bringen auch mehr 
Punkte.
Okay, auf zum nächsten 
Thema. Geh nach unten!";
"上画面を見て！


画面下 真ん中に砂時計マークと
数字が見えるよね？
これが制限時間よ
この時間が無くなると 
攻守が交替して あなたが
ファントムを動かす番になるわ
こうやって △を取り合って
3回くり返したらゲーム終了！
点数の高い方が勝ちってわけ！
ファントム側の説明をするわよ";"Look at the top screen!


Do you see the hourglass
and some numbers? That's
your time limit. 
If time runs out, you'll
switch sides. Then it's your
turn to be the Phantoms.
You'll take turns like this.
Once each player has had
three turns, the game ends.
Whoever has the most
points, wins! Next, I'll
explain the Phantoms.";"Regardez l'écran supérieur!


Vous voyez le sablier et les
chiffres?  Ils indiquent le
temps dont vous disposez.
Arrivé à zéro, vous
changez de rôle et vous
contrôlez les spectres.
Chacun son tour! La partie
prend fin quand chaque
joueur a fait 3 tours.
Le joueur qui a le plus de
points à la fin remporte
la victoire!
A présent, passons aux
explications sur les
spectres.";"Sieh dir den oberen 
Bildschirm an!

Unten in der Mitte siehst 
du eine Sanduhr und ein 
paar Zahlen. 
Das ist das Zeitlimit.


Wenn diese Zeit abläuft,
werden die Seiten gewech-
selt und du bist an der...
...Reihe, die Phantome zu 
steuern.

Auf diese Weise versuchen 
beide abwechselnd, die △
zu schnappen und...
...wenn jeder drei Mal an
der Reihe war, ist das Spiel
vorbei. 
Der Spieler mit den meisten
Punkten gewinnt.

Als Nächstes erkläre ich, 
wie man die Phantome 
steuert.";
"ファントムはマップに線を引いて
進路を指定して操作します

下画面の左上に3つある黒い
ファントムアイコンをどれでも1つ
タッチして 線を引いて動かすの！
まずは 右に向って線を引いて
動かしてみて！";"Draw lines on the map to
set the path the Phantoms
will walk.
Touch any Phantom on the
lower screen and draw lines
to make one move.
Try drawing a line to the
right to make a Phantom
move to the right!";"Tracez sur la carte le
chemin que les spectres
vont suivre.
Touchez un spectre sur
l'écran tactile et tracez
le trajet qu'il suivra.
Faites un trait vers la
droite pour déplacer un
spectre vers la droite!";"Zeichne Linien auf der Kar-
te, um den Pfad der Phan-
tome zu bestimmen.
Berühre irgendeines der 
Phantome in der oberen lin-
ken Ecke des unteren... 
...Bildschirms und zeichne 
eine Linie, um es zu bewe-
gen.
Zeichne zuerst eine Linie 
nach rechts, um es nach
rechts zu bewegen!";
"うまくできたわね


ゲーム中では3体のファントムを
使ってリンクを追いつめるの

それぞれのアイコンをタッチして
線を引けば別々に動かせるから
試してみて！
線を引いた後でも もう一度
そのファントムをタッチして
引き直すこともできるからね
LかRボタンを押すとカメラを
切り替えることもできるわよ

試し終わったら リンクに向って
ファントムを1体でいいから
移動させてみて！";"You did it!


During a game, move the
three evil Phantoms to
catch Link.
Touch all of the icons
and draw lines to make
each of them move. Try it!
Even after drawing a line, 
you can tap a Phantom
and redraw a line.
Press the L and R Buttons
to change the camera view.

Once you're done, move
one of the Phantoms so
that it will catch Link.";"Bravo!


Pendant une partie, vous
déplacez les trois spectres
pour attraper Link.
Touchez tous les spectres
et tracez des trajets pour
tous les déplacer. Allez-y!
Après avoir tracé un trajet,
vous pouvez toucher le
spectre et retracer.
Appuyez sur les boutons
L et R pour passer d'un
spectre à un autre.
Une fois que vous avez
fini, déplacez un spectre
pour qu'il attrape Link.";"Das hat gut geklappt!


Bewege die drei Phantome
während des Spiels, um 
Link zu fangen.
Berühre jedes der Icons und
zeichne Linien, um sie zu 
bewegen. Probier es aus!
Sogar nachdem du eine Li-
nie gezeichnet hast, kannst 
du das Phantom berühren...
...und die Linie erneut 
zeichnen, um den Pfad zu 
ändern.
Drücke die L- oder R-Taste
um zwischen den Phanto-
men hin- und herzuschalten.
Wenn du fertig bist, bewege
eines der Phantome so, 
dass es Link fängt!";
"じゃあ 次はリンクの
やっつけ方を説明するわよ！

移動させてきた ファントムを
右にいるリンクのそばへ
移動させてみて！
リンクへの攻撃が自動で
行われて 攻撃があたると
攻守交替となるわ";"OK, next I'm going to show
you how to catch that wily
Link!
Move the Phantom that is
moving right farther that
way, toward Link.
If it gets close to Link, it
will attack! If it hits Link,
you'll switch sides.";"Très bien! Maintenant,
voyons comment attraper
ce sournois de Link!
Déplacez vers Link le
spectre que vous avez
bougé vers la droite.
Une fois à portée de Link,
le spectre attaque
automatiquement!
Si Link est touché,
vous changez de rôle.";"Als Nächstes zeige ich dir, 
wie man Link fängt.

Bewege das Phantom, das 
nach rechts läuft, weiter 
nach rechts zu Link!
Wenn das Phantom nahe 
bei Link ist, wird es auto-
matisch angreifen.
Wenn es trifft, werden die 
Seiten gewechselt.";
"最後に お助けアイテムについて
説明するわよ！

ゲームが始まって少しすると
お助けアイテムが
出現するようになるの";"Last, I'm going to tell you
all you need to know about
helpful items.
Shortly after a game is
started, helpful items will
appear on the screen.";"Pour finir, je vais tout
vous expliquer sur les
objets.
Peu après le début de
la partie, des objets
apparaissent à l'écran.";"Zuletzt erkläre ich die 
hilfreichen Items.

Kurz nachdem ein Spiel 
begonnen hat, erscheinen 
hilfreiche Items...
...auf dem Bildschirm.";
"ノーアイテム";"No Items";"Aucun objet";"Keine Items";
"ノードリブル";"No Dribble";"Précision";"Kein Dribbeln";
"リミット";"Limit";"Limite";"Limit";
"ソロ";"Solo";"Solo";"Solo";
"ブレイク";"Break";"Casse";"Pause";
"テイク";"Take";"Prise";"Nehmen";
"パーフェクトマスター";"Perfect Master";"Maître ultime";"Perfekt. Meister";
"クイック";"Quick";"Rapide";"Schnell";
"ミラクル";"Miracle";"Miracle";"Wunder";
"フルゲット";"Get Everything";"Monopole";"Alles abgestaubt";
"ガーディアン";"Guardian";"Protecteur";"Wächter";
"パーフェクト";"Perfect";"Parfait";"Perfekt";
"ノーミス";"No Miss";"Sans faute";"Ohne Fehler";
"ガードキング";"Guard King";"Garde royal";"Abwehrkönig";
"マスター";"Master";"Maître";"Meister";
"バトルマスター";"Battle Master";"Maître duelliste";"Duellmeister";
"お助けアイテムを
1コも取らずに勝利する";"Win without taking
a single item.";"Gagnez sans utiliser
un seul objet.";"Gewinne, ohne ein 
hilfreiches Item zu 
benutzen.";
"ゲーム終了まで両陣地と
聖域以外に持ち上げた
フォースを置かずに勝利";"Win, but don't drop
Force Gems outside
bases or safe zones.";"Ne posez les gemmes
que sur une base ou
un sanctuaire.";"Force-Kristalle nur
in der Basis oder
Schutzzone ablegen.";
"1ゲームで 2回以上
1ターン残り20秒の間に
リンクを倒し勝利する";"Win a match, felling
Link in the last 20
sec. of two turns.";"Touchez Link deux
fois dans les 20
dernières secondes.";"Nimm Link zweimal
in den letzten 20
Sekunden gefangen.";
"いずれかのターンで
ファントムを1体のみ
使って リンクを倒す";"Defeat Link in any
one turn using only
one Phantom.";"Touchez Link une
fois en n'utilisant
qu'un spectre.";"Besiege Link in ir-
gendeinem Zug mit 
nur einem Phantom.";
"相手用に出た
お助けアイテムを
10コ以上こわす";"Break 10 or more of
your opponent's
helpful items.";"Brisez au moins
10 objets de votre
adversaire.";"Zerbrich 10 oder 
mehr hilfreiche Items
deines Gegners.";
"自分用に出た
お助けアイテムを
10コ以上取る";"Pick up 10 or more
of your own helpful
items.";"Ramassez au moins
10 objets de votre
couleur.";"Hebe 10 oder mehr 
eigene hilfreiche 
Items auf.";
"パーフェクトとリミット
両方を同時に達成する";"Complete a
Perfect and Limit at
the same time.";"Réussissez en même
temps un Limite et
un Parfait.";"Erziele gleichzeitig 
ein Perfekt und 
ein Limit.";
"1ゲームで 2回以上 
開始後 20秒以内に
リンクを倒し勝利する";"Win a match, felling
Link in the first 20
sec. of two turns.";"Touchez Link deux
fois dans les 20
premières secondes.";"Nimm Link zweimal
in den ersten 20
Sekunden gefangen.";
"1対0で勝利する";"Win 1-0.";"Gagnez 1 à 0.";"Gewinne 1:0.";
"全てのフォースを自分の
カラーにして勝利する";"Win, turning all the
Force Gems your
color.";"Gagnez en changeant
toutes les gemmes
en votre couleur.";"Gewinne mit allen 
Force-Kristallen in 
deiner Farbe.";
"1度も相手に得点
されずに勝利する";"Win without letting
your opponent score
any points.";"Gagnez sans que
votre adversaire ne
remporte de point.";"Gewinne, ohne dass 
dein Gegner punktet.";
"フルゲットと
ガーディアン
両方を同時に達成する";"Complete both the
Get Everything and
Guardian together.";"Réussissez en même
temps un Monopole
et un Protecteur.";"Erziele gleichzeitig 
ein Alles abgestaubt
und einen Wächter.";
"リンクの時に1度も
倒されることなく
勝利する";"Win without being
taken down once as
Link.";"Gagnez sans que
votre Link ne soit
touché.";"Gewinne, ohne auch 
nur einmal als Link 
erwischt zu werden.";
"ファントムでリンクを
3回倒す";"Take Link down
three times as the
Phantoms.";"Touchez Link avec
vos spectres à
chaque tour.";"Erwische Link drei
Mal mit den 
Phantomen.";
"ノーミスとガードキング
両方を同時に達成する";"Complete a No Miss
and Guardian at the
same time.";"Réussissez en même
temps un Sans faute
et un Protecteur.";"Erziele gleichzeitig 
ein Ohne Fehler und
einen Wächter.";
"リミットとマスター
両方を同時に達成する";"Complete a Limit
and Master at the
same time.";"Réussissez en même
temps un Limite et
un Maître.";"Erziele gleichzeitig
ein Limit und einen 
Meister.";
"？　？　？";"???";"???";"???";
"レアプレイを[Unknown_Tag]コ以上ゲット！
1人用ゲームで なにかが起こる
ポストマンを探せ！";"You did [Unknown_Tag] or more Big
Plays! Visit the Postman
in the main quest!";"Vous avez réalisé [Unknown_Tag]
Prouesses! Allez voir le
postier en mode Quête!";"[Unknown_Tag] oder mehr besondere 
Leistungen erzielt. Suche 
den Postboten!";
"レアプレイを16コすべてゲット！
1人用ゲームで なにかが起こる
ポストマンを探せ！";"You've done all 16 Big
Plays! See the Postman in
the main quest!";"Vous avez réalisé les 16
Prouesses! Allez voir le
postier en mode Quête!";"Alle 16 besondere Leistun-
gen erzielt! Suche den 
Postboten!";
"1番小さい△を持って歩けば
ファントムの位置がわかるから
有利にゲームを進められるぞ！";"You can see the Phantoms
when you are holding a
△. Use this advantage!";"Vous pouvez voir les
spectres quand vous tenez
une △. Profitez-en!";"Phantome sind sichtbar, 
wenn du das △ hältst. Be-
nutze es zu deinem Vorteil.";
"大きい△はずっと持って
歩くより 投げる方が早く運べて
有利だ！";"Don't carry big △s around!
It's faster to throw them
as you go.";"Ne vous embêtez pas à
porter les grosses △! Il est
plus rapide de les lancer!";"Statt die großen △ herum-
zutragen, wirf sie lieber. 
Das geht schneller.";
"得点が高いほど
リンクの腕力がUPする！
大きな△も素早く運べるぞ！";"The higher your score, the 
stronger Link becomes! He'll
carry big △s with ease!";"Plus votre score est élevé,
plus Link est fort! Il portera
facilement les grosses △!";"Je höher deine Punkte, 
desto stärker ist Link. 
Schwere △ werden leichter.";
"聖域の中にいるリンクの姿は
相手のマップに表示されない
うまく使って目をくらませ！";"Link won't appear on your
foe's map when he is in a
safe zone.";"Link disparaît de la carte
de votre adversaire quand
il est dans un sanctuaire.";"Link erscheint nicht auf der
gegnerischen Karte, wenn 
er in einer Schutzzone ist. ";
"レアプレイは達成すると
勝敗ポイントに加算されるぞ！";"Complete Big Plays to add
to your Battle Points!";"Réalisez des Prouesses
pour gagner des points
d'expérience!";"Besondere Leistungen zu 
erzielen bringt auch 
Duellpunkte.";
"お助けアイテムをうまく使い
こなせる者がゲームを制する";"Players who use items
well have a big
advantage!";"Une utilisation judicieuse
des objets donne un énorme
avantage!";"Spieler, die Items erfolgreich
einsetzen, sind im Vorteil.";
"5つ以上 レアプレイを同時に
達成するとコンボボーナスが
もらえるぞ！";"Complete five or more
Big Plays at once to earn
a Combo Bonus.";"Réalisez 5 Prouesses ou
plus en même temps pour
obtenir un bonus de combo.";"Erziele 5 oder mehr beson-
dere Leistungen auf einmal 
für einen Combo-Bonus.";
"相手の色の△は
聖域に置けば中立の
黄色にもどせるぞ！";"Put a △ that is your 
foe's color in a safe zone
to make it yellow!";"Posez une △ de la couleur
rivale dans un sanctuaire
pour la rendre jaune!";"Lege ein △ in der Schutz-
zone ab und es färbt sich 
wieder in neutrales Gelb!";
"スタートカウント中から
ファントムの線は引くことが
できるぞ！";"You can draw paths for
Phantoms from the start
of the starting count.";"Vous pouvez tracer des
trajets pour les spectres
dès le compte à rebours!";"Du kannst schon während 
des Countdowns Pfade für
die Phantome zeichnen.";
"上：ヒューヒュー
左右：やるな！
下：Booo！";"Up: Yay!
Left/Right: Whoa!
Down: Boo!";"Haut: Ouais!
Gauche/Droite: Ouah!
Bas: Bouh!";"Hoch: Yeah!
Links/Rechts: Wow!
Unten: Buh!";
"L・Rボタンでファントムの
上画面をワンタッチ切り替え
できるぞ！";"Press the L or R Button to 
swap between the Phantoms
on the top screen!";"Passez d'un spectre à
l'autre sur l'écran supérieur
à l'aide des boutons L et R!";"Drücke die L- oder R-
Taste, um zwischen den 
Phantomen umzuschalten!";
"1人はリンクを追い
1人はリンクの抜け道をふさぎ
1人は動きを読んで回り込む";"One follows Link, one blocks
Link's path, one predicts
Link's movements.";"Un poursuit Link, un autre
bloque son chemin, un autre
anticipe ses mouvements.";"Einer folgt Link, einer 
blockiert seinen Weg, einer 
errät seine Bewegungen.";
"自分よりバトルポイントが上の人に
勝つとたくさん勝利ポイントが
もらえるぞ！";"Beat someone with more
Battle Points to earn more
Battle Points!";"Battez un joueur avec plus
de points d'expérience pour
en gagner plus vous-même!";"Besiege jemanden mit vielen
Duellpunkten, um selbst 
viele Punkte zu erhalten.";
"1つの△にこだわるよりも
複数の△を少しずつ陣地に運べ！";"You're better off getting
lots of small △s instead
of one big △!";"Il vaut mieux avoir plein
de petites △ qu'une seule
grande △!";"Statt sich auf ein △ zu 
versteifen, solltest du lieber
mehrere kleine △ ergattern.";
"相手のお助けアイテムを
こわすのも こうげきの1つだ！";"One way to attack your
foe is to break all of
his helpful items!";"Une manière de contrer
votre adversaire est de
briser toutes ses capsules!";"Eine Angriffsart ist alle
hilfreichen Items deines 
Gegners zu zerbrechen!";
"一ヶ所に フォースを
集めすぎると・・・";"If you collect all of the
Force Gems in one place...";"Si vous rassemblez toutes
les gemmes de force en
un même endroit...";"Sammle alle Force-Kristal-
le an einem Ort...";
"大△は 15点
中△は 5点
小△は 1点";"Force Gem Point Values:
Big: 15 points. Medium:
5 points. Small: 1 point.";"Valeur des gemmes de
force... Grande: 15pts,
moyenne: 5pts, petite: 1pt.";"Große △ sind 15 Pkt. wert,
mittlere △ 5 Pkt. und
kleine △ 1 Pkt.";
"△に重ねるように ファントムを
おけば リンクから△を守れる！";"Place Phantoms close to the
△s to protect them from
Link!";"Positionnez les spectres à
proximité des △ pour les
protéger de l'avide Link!";"Platziere Phantome in der 
Nähe von △, um sie vor 
Link zu beschützen!";
"対戦相手と
アイテム交換が
成立しました！";"You have successfully 
exchanged items with 
your opponent!";"L'échange d'objets avec
votre adversaire a été
effectué!";"Du hast erfolgreich Items
mit deinem Gegner 
getauscht!";
"Wi-Fiコネクションでは DSカードと
DS本体をセットであつかいます。
DSカードにDS本体のWi-Fi
ユーザーじょうほうを
ほぞんして Wi-Fiコネクションに
せつぞくしますか？";"Nintendo Wi-Fi Connection
treats your Nintendo DS Game
Card and Nintendo DS as a set.
Save this Nintendo DS system's
Nintendo Wi-Fi Connection
User Information to this Game
Card and connect to Nintendo
Wi-Fi Connection?";"La connexion Wi-Fi Nintendo
considère votre carte DS et
votre Nintendo DS comme un
ensemble.
Se connecter à la connexion
Wi-Fi en sauvegardant les
informations d'utilisateur Wi-Fi
de cette Nintendo DS sur
cette carte DS?";"Die Nintendo WFC sieht 
deinen Nintendo DS und die 
DS-Karte als Einheit an. Sollen
die Nintendo Wi-Fi-User-Daten
dieses DS-Systems auf der 
DS-Karte gespeichert werden 
und soll eine Verbindung zur 
Nintendo WFC hergestellt 
werden?";
"Wi-Fiコネクションに
せつぞくしています。
しばらくおまちください。";"Connecting to Nintendo Wi-Fi
Connection...
Please wait a moment...";"Accès à la connexion Wi-Fi
Nintendo...
Veuillez patienter...";"Verbinde mit Nintendo Wi-Fi 
Connection...
Bitte warten!";
"
";"";"";"";
"DSカードに このDS本体のWi-Fi
ユーザーじょうほうを
ほぞんしました。
こんご Wi-Fiコネクションへの
せつぞくは このDS本体を
ごしようください。";"Nintendo Wi-Fi Connection
User Information for this
Nintendo DS has been saved
to the Game Card.
From now on, please use this
Nintendo DS to connect to
Nintendo Wi-Fi Connection.";"Les informations d'utilisateur
Wi-Fi de cette Nintendo DS
ont été sauvegardées sur
la carte DS.
A partir de maintenant, utilisez
cette Nintendo DS pour vous
connecter à la connexion
Wi-Fi Nintendo.";"Die Nintendo Wi-Fi-User-Daten
für diesen Nintendo DS wurden
auf der DS-Karte gespeichert. 
Verwende von jetzt an bitte 
ausschließlich diesen Nintendo 
DS, um eine Verbindung zur 
Nintendo Wi-Fi Connection 
herzustellen.";
"Wi-Fiコネクションに
せつぞくしますか？";"Connect to Nintendo Wi-Fi
Connection?";"Se connecter à la connexion
Wi-Fi Nintendo?";"Eine Verbindung zur Nintendo 
Wi-Fi Connection herstellen?";
"DS本体とDSカードの
Wi-Fiユーザーじょうほうが
ちがっているため
Wi-Fiコネクションに
せつぞくできません。";"Unable to connect to Nintendo
Wi-Fi Connection because the
Nintendo Wi-Fi Connection
User Information from the
Nintendo DS and the Game
Card do not match.";"Les informations d'utilisateur
Wi-Fi de la Nintendo DS et de
la carte DS ne correspondent
pas. Impossible de se connecter
à la connexion Wi-Fi Nintendo.";"Keine Verbindung zur Nintendo 
Wi-Fi Connection möglich. 
Nintendo Wi-Fi-User-Daten des
DS und der DS-Karte stimmen 
nicht überein.";
"Wi-Fiコネクションに
せつぞくしています。
しばらくおまちください。";"Connecting to Nintendo Wi-Fi
Connection...
Please wait a moment...";"Accès à la connexion Wi-Fi
Nintendo...
Veuillez patienter...";"Verbinde mit Nintendo Wi-Fi 
Connection...
Bitte warten!";
"DSカードに ほぞんされている
Wi-Fiユーザーじょうほうを
こうしんしますか？ 
これまで Wi-Fiコネクションで 
おつかいになっていたデータは
うしなわれてしまいます。";"Update Nintendo Wi-Fi
Connection User Information
saved on the Game Card?
When you update your
Nintendo Wi-Fi Connection
User Information, you will lose
all data that was used to
connect to Nintendo Wi-Fi
Connection.";"Mettre à jour les informations
d'utilisateur Wi-Fi
sauvegardées sur la carte DS?
Vous perdrez toutes les
données utilisées pour vous
connecter à la connexion Wi-Fi
Nintendo si vous continuez.";"Sollen die Nintendo Wi-Fi-
User-Daten, die auf dieser 
DS-Karte gespeichert sind, 
aktualisiert werden? Durch 
Aktualisierung der Nintendo 
Wi-Fi-User-Daten gehen
vorherige, zur Nutzung der 
Nintendo WFC verwendete 
Einstellungen verloren.";
"おつかいの 名前では
Wi-Fiコネクションを
りようできません。
なまえを へんこうして
せつぞくしなおしてください。";"You cannot access Nintendo
Wi-Fi Connection using this
user name. Please change your
user name and try again.";"Impossible d'accéder à la
connexion Wi-Fi Nintendo avec
ce nom d'utilisateur.
Veuillez changer votre nom
d'utilisateur et recommencer.";"Du kannst keine Verbindung 
zur Nintendo Wi-Fi Connection
herstellen, wenn du diesen 
Namen verwendest. Bitte ändere
deinen User-Namen und 
versuche es noch einmal.";
"Wi-Fiコネクションから
せつだんしても いいですか？";"OK to disconnect from
Nintendo Wi-Fi Connection?";"Voulez-vous interrompre
la connexion Wi-Fi Nintendo?";"Soll die Verbindung zur 
Nintendo Wi-Fi Connection 
wirklich beendet werden?";
"たいせん相手のじょうけんを
きめてください。";"Please determine the conditions
for your opponent.";"Veuillez décider des conditions
pour votre adversaire.";"Bitte bestimme die Bedingun-
gen für deinen Gegner.";
"ほんとうに こうしんしても
よろしいですか？";"Do you still want to update?";"Voulez-vous effectuer
la mise à jour?";"Möchtest du dennoch 
aktualisieren?";
"「フレンドリストのだれかと」をえらぶと
リストの中から たいせん相手を
さがします。

ともだちの名前をえらぶと
そのともだちをさがします。";"Choose "With someone on my
Friend Roster" to search for
someone on your friend roster.
If you choose a name, you
will search for that friend
specifically.";"Choisissez "Contre un joueur
de la liste d'amis" pour
chercher quelqu'un dans
votre liste d'amis.
Si vous choisissez un nom,
vous chercherez cette personne
en particulier.";"Wähle "Mit jmd. aus meiner
Freundesliste" um jemanden 
aus deiner Freundesliste zu 
suchen.
Wenn du einen Namen aus-
wählst, suchst du nach diesem
Freund.";
"ともだちが とうろくされて
いないので たいせんできません。
フレンドリストに ともだちの
フレンドコードを とうろくすると
たいせんできるようになります。";"You don't have any friends
registered, so you cannot
play this mode. 
You will be able to play once
you have registered a friend
to your friend roster.";"Ce choix est impossible. Vous
n'avez pas d'ami enregistré.
Vous pourrez accéder à ce
mode quand vous aurez
enregistré un ami dans votre
liste d'amis.";"Du hast keine Freunde regis-
triert, also kannst du diesen 
Modus nicht spielen.
Wenn du den Freundescode 
eines Freundes in deiner 
Freundesliste registrierst, 
kannst du diesen Modus 
spielen.";
"Wi-Fiコネクションから
せつだんしています。";"Disconnecting from Nintendo
Wi-Fi Connection.";"Déconnexion de la connexion
Wi-Fi Nintendo.";"Verbindung zur Nintendo 
Wi-Fi Connection wird 
abgebrochen.";
"相手をさがしています。
しばらくおまちください。";"Searching for an opponent...
Please wait a moment...";"Recherche d'un adversaire...";"Suche nach einem Gegner...
Bitte warte einen Moment...";
