Japanese;US English;French;German;
"セーブできません

スロットＡのメモリーカードには対応していません
スロットＡに正常なメモリーカードをさして下さい";"Unable to save. The Memory Card in
Slot A is not compatible with this
game. Please insert a compatible
Memory Card into Slot A.";"Impossible de sauvegarder.

La carte mémoire insérée dans le
Slot A n'est pas compatible.
Remplacez-la par une carte
mémoire valide.";"Speichern nicht möglich.
Die Memory Card in Steckplatz A kann
nicht verwendet werden. Bitte stecke
eine Memory Card in Steckplatz A ein.";
"セーブできません

スロットＡにメモリーカードが見つかりません
メモリーカードの接続を確認して下さい";"Unable to save. Unable to find a
Memory Card in Slot A. Please check
to see that a Memory Card is
inserted in Slot A.";"Impossible de sauvegarder.

Aucune carte mémoire n'est détectée
dans le Slot A.
Vérifiez si la carte mémoire dans
le Slot A est bien insérée.";"Speichern nicht möglich.
Keine Memory Card in Steckplatz A
gefunden. Bitte überprüfe die Ver-
bindung der Memory Card.";
"セーブできません

スロットＡのメモリーカードはデータが
こわれているので初期化が必要です
初期化しますか？";"Unable to save. The data on the
Memory Card in Slot A is corrupted
and will have to be erased.
Do you want to erase the corrupted
data?";"Impossible de sauvegarder.

La carte mémoire dans le Slot A
contient des données corrompues et
a besoin d'être formatée.
Voulez-vous la formater?";"Speichern nicht möglich.
Die Memory Card in Steckplatz A kann
nicht verwendet werden. Bitte stecke
eine Memory Card in Steckplatz A ein.";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"セーブできません

スロットＡにメモリーカードが見つかりません
メモリーカードの接続を確認して下さい";"Unable to save. Unable to find a
Memory Card in Slot A. Please check
that there is a Memory Card inserted.";"Impossible de sauvegarder.

Aucune carte mémoire n'est détectée
dans le Slot A.
Vérifiez si la carte mémoire dans
le Slot A est bien insérée.";"Speichern nicht möglich.
Keine Memory Card in Steckplatz A
gefunden. Bitte überprüfe die Ver-
bindung der Memory Card.";
"セーブできません

スロットＡのメモリーカードに空き容量がないか、
ファイル数の制限を超えてしまいます
このゲームをセーブするにはファイル１つと
４ブロックの空き容量が必要です";"Unable to save. Either there isn't
enough open space on the Memory
Card in Slot A or you have exceeded
the file limit. You need one file and 
4 blocks to save this game.";"Impossible de sauvegarder.

Il n'y a pas assez d'espace libre sur
la carte mémoire dans le Slot A. Ce
jeu nécessite 1 fichier et 4 blocs
pour être sauvegardé.";"Speichern nicht möglich.
Es befindet sich nicht genügend
freier Platz auf der Memory Card
in Steckplatz A. Dieses Spiel be-
nötigt zum Speichern eine Datei
und 4 freie Blöcke.";
"スロットＡに空き容量のあるメモリーカードをさすか
メモリーカード内容の整理を
本体のメモリーカード画面でおこなって下さい";"Either insert a Memory Card with 
enough space or organize the data on
the Memory Card screen.";"Insérez une carte mémoire avec
suffisamment d'espace dans le Slot A
ou utilisez l'Ecran Memory Card (carte
mémoire) pour gérer le contenu de
votre carte mémoire.";"Stecke eine Memory Card mit aus-
reichend freiem Speicher in Steck-
platz A oder verwalte die Inhalte
deiner Memory Card auf dem
Memory Card-Bildschirm.";
"初期化に失敗した可能性があります";"An error may have occurred while
formatting.";"Une erreur s'est produite lors
du formatage.";"Formatierung der Memory Card
eventuell fehlgeschlagen.";
"初期化しました";"Formatting complete.";"Formatage terminé.";"Formatierung abgeschlossen.";
"初期化しています

メモリーカードや本体のパワーボタンに
触らないで下さい";"Formatting.

Do not touch the Memory Card or
the POWER button.";"Formatage en cours...

Ne touchez pas à la carte mémoire ni
au bouton POWER.";"Formatierung...

Bitte entferne nicht die
Memory Card und betätige nicht
den POWER-Schalter.";
"初期化するとメモリーカード内の
データはすべて消えます
よろしいですか？";"If you format, all the data on the
Memory Card will be erased.
Is this OK?";"Formater la carte mémoire entraînera
la perte de toutes les données
sauvegardées.
Voulez-vous continuer le formatage?";"Bei der Formatierung werden
sämtliche Daten auf der Memory
Card gelöscht. Fortfahren?";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"セーブできません

スロットＡのメモリーカードは
このゲームでは使用できません
スロットＡに正常なメモリーカードをさして下さい";"Unable to save. You cannot use the
Memory Card in Slot A to save this
game. Please insert a compatible
Memory Card into Slot A.";"Impossible de sauvegarder.

La carte mémoire insérée dans le
Slot A ne peut être utilisée pour
ce jeu.
Veuillez insérer une carte mémoire
valide dans le Slot A.";"Speichern nicht möglich.
Die Memory Card in Steckplatz A
kann mit diesem Spiel nicht ver-
wendet werden. Bitte stecke eine
passende Memory Card in Steck-
platz A.";
"現在のゲーム内容は
セーブできませんがよろしいですか？";"Your progress will not be saved.
Is this OK?";"Il est impossible de sauvegarder votre
progression actuellement.
Voulez-vous continuer?";"Der gegenwärtige Spielstand kann
nicht gespeichert werden.
Trotzdem fortfahren?";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"本体のメモリーカード画面を開きますか？
（本体のメモリーカード画面は、Ａボタンを
押したままパワーボタンを入れ直しても
開くことができます）";"Open the Memory Card screen of the
console menu? (You may also open
the Memory Card screen by powering
down, then powering back on while
holding down the A Button.)";"Voulez-vous ouvrir l'Ecran Memory
Card (carte mémoire)?
Vous pouvez accéder à l'Ecran
Memory Card (carte mémoire) en
éteignant votre console, puis en
la rallumant en maintenant le
bouton A enfoncé.";"Memory Card-Bildschirm öffnen?
(Der Memory Card-Bildschirm kann
auch durch Drücken des POWER-
Schalters bei gedrücktem A-Knopf
geöffnet werden.)";
"スロットＡのメモリーカードに
このゲームのファイルを作りますか？";"There is no The Legend of Zelda:
Twilight Princess save file on the
Memory Card in Slot A. This game
requires 1 file and 4 blocks to save.
Would you like to create a save
file on the Memory Card in Slot A?";"Voulez-vous créer un fichier pour ce
jeu sur la carte mémoire dans
le Slot A?";"Soll eine Spieldatei auf der Memory
Card in Steckplatz A erstellt werden?";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"セーブできません

スロットＡのメモリーカードには
このゲームをセーブするファイルがありません";"Unable to save. The Memory Card in
Slot A does not have a file in which
to save this game.";"Impossible de sauvegarder.

Il n'y a pas de fichier de sauvegarde
de ce jeu sur la carte mémoire dans
le Slot A.";"Speichern nicht möglich.
Auf der Memory Card in Steckplatz A
befindet sich keine Datei für dieses
Spiel.";
"ファイルを作っています

メモリーカードや本体のパワーボタンに
触らないで下さい";"Creating a file.

Do not touch the Memory Card in
Slot A or the POWER Button.";"Création du fichier de sauvegarde
en cours...

Ne touchez pas à la carte mémoire ni
au bouton POWER.";"Datei wird erstellt.

Bitte entferne nicht die Memory
Card und betätige nicht
den POWER-Schalter.";
"ファイルを作るのに
失敗した可能性があります";"An error might have occurred when
the file was being created.";"Une erreur s'est produite lors de
la création du fichier.";"Erstellen der Datei ist
möglicherweise fehlgeschlagen.";
"ファイルを作りました";"The file has been created.";"Le fichier a été créé.";"Datei wurde erstellt.";
"セーブしています";"Saving...";"Sauvegarde en cours...";"Speichervorgang...";
"セーブできません

スロットＡのメモリーカードは
最初にさしていたものと異なります";"Unable to save. The Memory Card in
Slot A is different from the one that
was inserted before.";"Impossible de sauvegarder.

La carte mémoire dans le Slot A n'est
pas celle qui était insérée au début.";"Speichern nicht möglich.
Memory Card in Steckplatz A ist
nicht die ursprünglich eingesteckte
Memory Card.";
"セーブしました
ゲームを続けますか？";"Save complete. Would you like to
continue the game?";"Sauvegarde effectuée.
Continuer la partie?";"Spielstand wurde gespeichert.
Spiel fortsetzen?";
"はい";"Yes";"Oui";"Ja";
"いいえ";"No";"Non";"Nein";
"セーブに失敗した可能性があります";"An error might have occurred while
saving.";"Une erreur s'est produite lors
de la sauvegarde.";"Speichervorgang eventuell
fehlgeschlagen.";
"旅の記録１";"Quest Log 1";"Journal de quête 1";"Datei 1";
"旅の記録２";"Quest Log 2";"Journal de quête 2";"Datei 2";
"旅の記録３";"Quest Log 3";"Journal de quête 3";"Datei 3";
"旅の記録を選んで下さい";"Choose a Quest Log";"Choisissez votre journal de quête.";"Bitte wähle eine Datei aus.";
"どこにコピーしますか？";"Copy to where?";"Copier où?";"Wohin soll die Datei kopiert werden?";
"この旅の記録に上書きコピーしますか？";"Overwrite with this Quest Log?";"Ecraser ce journal de quête?";"Soll diese Datei beim Kopieren
überschrieben werden?";
"コピーしています";"Copying...";"Copie en cours...";"Kopiervorgang...";
"コピーしました";"Copy complete.";"Copie effectuée.";"Kopiervorgang abgeschlossen.";
"コピーに失敗した可能性があります";"An error might have occurred while
copying...";"Une erreur s'est produite lors de la copie.";"Kopiervorgang eventuell
fehlgeschlagen.";
"この旅の記録を消去しますか？";"Erase this Quest Log?";"Effacer ce journal de quête?";"Soll diese Datei gelöscht werden?";
"消しています";"Erasing...";"Effacement en cours...";"Löschvorgang...";
"消去しました";"Erased.";"Effacement effectué.";"Datei wurde gelöscht.";
"消去に失敗した可能性があります";"An error might have occurred while
erasing...";"Une erreur s'est produite lors de l'effacement.";"Löschvorgang eventuell
fehlgeschlagen.";
"新しい旅の記録です";"New Quest Log";"Nouveau journal";"Leere Datei";
"[Link]";"[Link]";"[Link]";"[Link]";
"[Link]";"[Link]";"[Link]";"[Link]";
"[Link]";"[Link]";"[Link]";"[Link]";
"この旅の記録は　こわれています";"This Quest Log is
corrupted.";"Ce journal de quête
est corrompu.";"Datei beschädigt.";
"この旅の記録は　こわれています
旅の記録の内容を消しますか？";"This Quest Log is corrupted. 
Do you want to erase its data?";"Ce journal de quête est corrompu.
Effacer les données qu'il contient?";"Diese Datei ist beschädigt.
Datei löschen?";
"メモリーカードや本体のパワーボタンに触らないで下さい";"Do not touch the Memory Card in
Slot A or the POWER Button.";"Ne touchez pas à la carte mémoire ni au bouton POWER.";"Bitte entferne nicht die Memory Card
und betätige nicht den POWER-Schalter.";
"もどる";"Back";"Revenir";"Zurück";
"決定";"Confirm";"Valider";"O.K.";
"コピー";"Copy";"Copier";"Kopieren";
"消す";"Erase";"Effacer";"Löschen";
"スタート";"Start";"Commencer";"Start";
"アイテム．旅の記録";"Item Quest Logs";"Ecran de quête";"Item-Datei";
"[Y] [Z] [X] でセット";"Set to [Y] [Z] [X] ";"[Y] [Z] [X] : Equiper";"Einstellen: [Y] [Z] [X] ";
"旅の記録にセーブ";"Save to Quest Log";"Sauvegarder";"In Datei speichern.";
"オプション";"Options";"Options";"Optionen";
"せつめい";"Info";"Voir";"Info";
"もどる";"Back";"Sortir";"Zurück";
"オプション";"Options";"Options";"Optionen";
"セーブ";"Save";"Sauvegarder";"Speichern";
"ITEM";"ITEMS";"Objets";"ITEMS";
"MAP";"MAP";"Carte";"KARTE";
"[Analog] の🡅 🡇 🡄 🡆 で設定を変更できます";"Change settings with
🡅 🡇 🡄 🡆  on the [Analog] .";"Changer les options
avec [Analog] 🡅 🡇 🡄 🡆 .";"Verwende [Analog] 🡅 🡇 🡄 🡆 ,
um die Einstellungen
zu verändern.";
"ＰＲＥＳＳ　ＳＴＡＲＴ";"PRESS START";"Appuyez sur START";"Drücke START";
"緑ルピー（１）を　手に入れた！";"You got a green Rupee!";"Vous obtenez un rubis vert!
Le rubis est la monnaie
de ce jeu.";"Ein grüner Rubin!
Er ist einen Rubin wert!";
"青ルピー（５）を　手に入れた！";"You got a blue Rupee (5)!";"Vous obtenez un rubis bleu!
Un rubis bleu vaut
5 rubis verts.";"Ein blauer Rubin!
Er ist 5 Rubine wert!";
"黄ルピー（１０）を　手に入れた！";"You got a yellow Rupee (10)!";"Vous obtenez un rubis jaune!
Un rubis jaune vaut
10 rubis verts.";"Ein gelber Rubin!
Er ist 10 Rubine wert!";
"赤ルピー（２０）を　手に入れた！";"You got a red Rupee (20)!";"Vous obtenez un rubis rouge!
Un rubis rouge vaut
20 rubis verts.";"Ein roter Rubin!
Er ist 20 Rubine wert!";
"紫ルピー（５０）を　手に入れた！";"You got a purple Rupee (50)!";"Vous obtenez un rubis violet!
Un rubis violet vaut
50 rubis verts.";"Ein violetter Rubin!
Er ist 50 Rubine wert!";
"オレンジルピー（１００）を
手に入れた！";"You got an orange Rupee (100)!";"Vous obtenez un rubis orange!
Un rubis orange vaut
100 rubis verts.";"Ein oranger Rubin!
Er ist 100 Rubine wert!";
"シルバールピー（２００）を
手に入れた！";"You got a silver Rupee (200)!";"Vous obtenez un rubis argent!
Un rubis argent vaut
200 rubis verts.";"Ein silberner Rubin!
So einer ist 200 Rubine wert!";
"ボム袋を　借りた！
中には爆弾が入っている

勇者の弓に合成して、
爆弾矢でガレキを破壊しよう";"You borrowed the bomb bag!
There are some bombs inside.


Combine bombs with the Hero's
Bow to use bomb arrows.";"Vous avez emprunté
un sac de bombes!
Il y a déjà des bombes
à l'intérieur.
En les combinant avec l'Arc du
Héros, vous pouvez créer des
flèches explosives et détruire
roches et éboulis.";"Du leihst dir eine
Bombentasche.
Sie ist gefüllt mit Bomben!

Kombiniere sie mit dem
Heroen-Bogen, um mit
Bombenpfeilen Felsen
zu sprengen!";
"爆弾入りボム袋を　もらった！
色んな種類の爆弾のうち一種類を
入れて持ち歩くことができる";"You got a bomb bag & bombs!
You can carry around one of the
various bomb types with this.";"Vous obtenez un sac de
bombes plein!
Vous ne pouvez y ranger qu'un
seul type de bombe à la fois.";"Du erhältst eine Bombentasche
voller Bomben.
Bewahre Bomben einer Sorte
in dieser Tasche auf!";
"爆弾（５個）を　手に入れた！
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got bombs (5)!
Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 5 bombes!
Assignez-les à [Y]  ou [X]  pour les
utiliser. Courez et appuyez sur
[A]  pour les lancer au loin.";"Du erhältst 5 Bomben!
Lege sie auf [Y]  oder [X] !
Drücke im Laufen [A] , um
Bomben zu werfen.";
"爆弾（１０個）を　手に入れた！
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got bombs (10)!
Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 10 bombes!
Assignez-les à [Y]  ou [X]  pour les
utiliser. Courez et appuyez sur
[A]  pour les lancer au loin.";"Du erhältst 10 Bomben!
Lege sie auf [Y]  oder [X] !
Drücke im Laufen [A] , um
Bomben zu werfen.";
"爆弾（２０個）を　手に入れた！
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got bombs (20)!
Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 20 bombes!
Assignez-les à [Y]  ou [X]  pour les
utiliser. Courez et appuyez sur
[A]  pour les lancer au loin.";"Du erhältst 20 Bomben!
Lege sie auf [Y]  oder [X] !
Drücke im Laufen [A] , um
Bomben zu werfen.";
"爆弾（３０個）を　手に入れた！
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got bombs (30)!
Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 30 bombes!
Assignez-les à [Y]  ou [X]  pour les
utiliser. Courez et appuyez sur
[A]  pour les lancer au loin.";"Du erhältst 30 Bomben!
Lege sie auf [Y]  oder [X] !
Drücke im Laufen [A] , um
Bomben zu werfen.";
"矢（１０本）を　手に入れた！
弓を構えて遠くの敵を狙い撃ち！";"You got arrows (10)!
Use arrows to shoot far-off
foes!";"Vous obtenez 10 flèches!
Eliminez vos ennemis de loin
et sans risque!";"Du erhältst 10 Pfeile!
Verwende sie mit dem Bogen
und achte darauf, dass sie dir
nicht ausgehen!";
"矢（２０本）を　手に入れた！
弓を構えて遠くの敵を狙い撃ち！";"You got arrows (20)!
Use arrows to shoot far-off
foes!";"Vous obtenez 20 flèches!
Eliminez vos ennemis de loin
et sans risque!";"Du erhältst 20 Pfeile!
Verwende sie mit dem Bogen
und achte darauf, dass sie dir
nicht ausgehen!";
"矢（３０本）を　手に入れた！
弓を構えて遠くの敵を狙い撃ち！";"You got arrows (30)!
Use arrows to shoot far-off
foes!";"Vous obtenez 30 flèches!
Eliminez vos ennemis de loin
et sans risque!";"Du erhältst 30 Pfeile!
Verwende sie mit dem Bogen
und achte darauf, dass sie dir
nicht ausgehen!";
"タネ（５０個）を　手に入れた！
パチンコの玉に　使える！";"You got seeds (50)!
Use them with your slingshot!";"Vous obtenez 50 graines!
Vous pouvez les utiliser comme
munitions pour le lance-pierre!";"Du erhältst 50 Kerne.
Verwende sie als Munition für
deine Schleuder!";
"水中爆弾（５個）を　手に入れた！
水中でも使える爆弾
ただし泳いでいる時は使えない
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got water bombs (5)!
You can use these bombs in
water, but not while swimming. 

Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 5
hydro-bombes! Ces bombes
peuvent exploser sous l'eau.

Assignez-les à [Y]  ou [X] 
pour les utiliser. Courez et
appuyez sur [A]  pour les lancer
au loin.";"Du erhältst 5 Wasserbomben!
Diese Bomben explodieren
auch unter Wasser!

Lege sie auf [Y]  oder [X]  und
drücke im Laufen [A] , um sie zu
werfen!";
"水中爆弾（１０個）を　手に入れた！
水中でも使える爆弾
ただし泳いでいる時は使えない
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got water bombs (10)!
You can use these bombs in
water, but not while swimming.

Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 10
hydro-bombes! Ces bombes
peuvent exploser sous l'eau.

Assignez-les à [Y]  ou [X] 
pour les utiliser. Courez et
appuyez sur [A]  pour les lancer
au loin.";"Du erhältst 10 Wasserbomben!
Diese Bomben explodieren
auch unter Wasser!

Lege sie auf [Y]  oder [X]  und
drücke im Laufen [A] , um sie zu
werfen!";
"水中爆弾（１５個）を　手に入れた！
水中でも使える爆弾
ただし泳いでいる時は使えない
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got water bombs (15)!
You can use these bombs in
water, but not while swimming.

Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 15
hydro-bombes! Ces bombes
peuvent exploser sous l'eau.

Assignez-les à [Y]  ou [X] 
pour les utiliser. Courez et
appuyez sur [A]  pour les lancer
au loin.";"Du erhältst 15 Wasserbomben!
Diese Bomben explodieren
auch unter Wasser!

Lege sie auf [Y]  oder [X]  und
drücke im Laufen [A] , um sie zu
werfen!";
"水中爆弾（３個）を　手に入れた！
水中でも使える爆弾
ただし泳いでいる時は使えない
[Y] [X] で持ち上げて　[A] で置く
走りながら[A] で投げられる";"You got water bombs (3)!
You can use these bombs in
water, but not while swimming.

Lift one with [Y]  or [X]  and press
[A]  to set it down. Press [A]  while
running to throw one.";"Vous obtenez 3
hydro-bombes! Ces bombes
peuvent exploser sous l'eau.

Assignez-les à [Y]  ou [X] 
pour les utiliser. Courez et
appuyez sur [A]  pour les lancer
au loin.";"Du erhältst 3 Wasserbomben!
Diese Bomben explodieren
auch unter Wasser!

Lege sie auf [Y]  oder [X]  und
drücke im Laufen [A] , um sie zu
werfen!";
"ポケット爆弾虫（５個）を手に入れた！
[Y] [X] で放すと　勝手に進みだす
何かに当たるか　一定時間で爆発する";"You got bomblings (5)! Set to
and use with [Y]  or [X] . They'll go
forward and explode if they hit
something or after awhile.";"Vous obtenez 5 bombinsectes! 
Assignez-les à [Y]  ou [X]  pour
les relâcher. Elles foncent tout
droit et explosent au contact.";"Du erhältst 5 Bombenkäfer!
Lege sie auf [Y]  oder [X]  und lass
sie frei. Nach kurzer Zeit explo-
dieren sie von selbst!";
"ポケット爆弾虫（１０個）を
手に入れた！

[Y] [X] で放すと　勝手に進みだす
何かに当たるか　一定時間で爆発する";"You got bomblings (10)! Set to
and use with [Y]  or [X] . They'll go
forward and explode if they hit
something or after awhile.";"Vous obtenez 10 bombinsectes! 
Assignez-les à [Y]  ou [X]  pour
les relâcher. Elles foncent tout
droit et explosent au contact.";"Du erhältst 10 Bombenkäfer!



Lege sie auf [Y]  oder [X]  und lass
sie frei. Nach kurzer Zeit explo-
dieren sie von selbst!";
