Japanese;UK English;French;German;
"スロットＡのメモリーカードに
このゲームのファイルを
つくりますか？ 

 はい いいえ ";"Would you like to create a save file for
The Legend of Zelda: The Wind Waker on
the Memory Card in Slot A?
 Yes No";"Un fichier de sauvegarde doit être créé 
afin de sauvegarder votre partie sur la 
Memory Card (carte mémoire)
dans le Slot A.

Créer le fichier de sauvegarde maintenant?

 Oui Non ";"Möchtest du eine Datei für dieses
Spiel auf der Memory Card (Speicherkarte)
in Steckplatz A anlegen?

 Ja Nein";
"スロットＡのメモリーカードには
このゲームをセーブする
ファイルがありません。 ";"There is no save file for The Legend
of Zelda: The Wind Waker on the Memory
Card in Slot A.";"Un fichier de sauvegarde doit être créé 
afin de sauvegarder votre partie sur la 
Memory Card (carte mémoire)
dans le Slot A.";"Auf der Memory Card (Speicherkarte) in
Steckplatz A befindet sich keine Datei,
um dieses Spiel zu speichern.";
"ファイルをつくっています。

メモリーカードや
パワーボタンに
さわらないで下さい。";"Now creating a save file...

Do NOT touch the Memory Card or the
POWER Button.";"Création du fichier en cours. 

Ne touchez pas à la Memory Card 
(carte mémoire) dans le Slot A, ni au 
bouton POWER.";"Eine Datei für dieses Spiel wird angelegt.

Bitte entferne nicht die Memory Card
(Speicherkarte) in Steckplatz A und
betätige nicht den POWER-Schalter.";
"ファイルをつくるのに
失敗した可能性があります。 ";"A save file could not be created.";"La création du fichier de sauvegarde
peut avoir échoué.";"Es könnte eventuell ein Fehler
beim Anlegen der Datei für dieses
Spiel aufgetreten sein.";
"ファイルをつくりました。";"A save file has been created.";"Création du fichier réussie.";"Es wurde eine Datei für
dieses Spiel angelegt.";
"セーブはできませんが
ゲームをはじめますか？

 はい いいえ ";"The game cannot be saved. Would you
like to continue anyway?

 Yes No";"Vous ne pouvez pas effectuer de
sauvegarde. 
Souhaitez-vous tout de même commencer
la partie?
 Oui Non ";"Du wirst nicht in der Lage sein,
deinen Fortschritt zu speichern.
Möchtest du dennoch beginnen?

 Ja Nein ";
"データ選択";"File Selection";"Choisir un fichier.";"Spielstand wählen";
"このデータを消しますか？";"Erase this data?";"Effacer ces données?";"Spielstand löschen?";
"消しています";"Erasing data...";"Effacement en cours.";"Wird gelöscht";
"消しました";"The data was erased.";"Effacement terminé.";"Gelöscht";
"どこにコピーしますか？";"Copy to where?";"Où effectuer la copie?";"Wohin kopieren?";
"このデータに上書きコピーしますか？";"Overwrite this data?";"Remplacer la sauvegarde existante?";"Spielstand überschreiben?";
"コピーしています";"Copying...";"Copie en cours.";"Wird kopiert";
"コピーしました";"The data was copied.";"Copie terminée.";"Kopiert";
"このデータはこわれています。
データの内容を消しますか？ ";"This data is corrupted.
Erase this data?";"Les données sont corrompues.
Voulez-vous les effacer?";"Dieser Spielstand ist beschädigt.
Möchtest du ihn löschen?";
"このデータはこわれています。
データの内容を消してコピーしますか？ ";"This data is corrupted.
Erase and copy over data?";"Les données sont corrompues.
Voulez-vous remplacer la
sauvegarde existante?";"Dieser Spielstand ist beschädigt.
Möchtest du ihn löschen und kopieren?";
"メモリーカードや
パワーボタンに
さわらないで下さい。";"Do not touch the Memory Card or the
POWER Button.";"Ne touchez pas à la Memory Card 
(carte mémoire) dans le Slot A, ni au 
bouton POWER.";"Bitte entferne nicht die Memory Card
(Speicherkarte) und betätige nicht den
POWER-Schalter.";
"消すのに失敗した可能性があります。";"The data could not be erased.";"L'effacement peut avoir échoué!";"Es könnte eventuell ein Fehler
beim Löschen aufgetreten sein.";
"コピーに失敗した可能性があります。";"The data could not be copied.";"La copie peut avoir échoué!";"Es könnte eventuell ein Fehler
beim Kopieren aufgetreten sein.";
"名前入力";"Name Entry";"Entrez votre nom.";"Namenseingabe";
"セーブできません。

スロットＡにメモリーカードが
見つかりません。
メモリーカードの接続を
確認して下さい。 ";"The game cannot be saved.

There is no Memory Card in Slot A.
Please check to be sure that a Memory
Card has been inserted properly.";"Impossible de sauvegarder.

Aucune Memory Card (carte mémoire) n'est
détectée dans le Slot A.
Vérifiez que la Memory Card
(carte mémoire) est correctement insérée.";"Es kann nicht gespeichert werden.

Es befindet sich keine Memory Card
(Speicherkarte) in Steckplatz A.
Überprüfe, ob sie korrekt eingesteckt ist.";
"セーブできません。

スロットＡのメモリーカードは
こわれているので使用できません。
スロットＡに
正常なメモリーカードを
差して下さい。 ";"The game cannot be saved.

The Memory Card in Slot A is damaged
and cannot be used. Please insert
a functional Memory Card into Slot A.";"Impossible de sauvegarder.

La Memory Card (carte mémoire) dans le 
Slot A est endommagée et ne peut pas être 
utilisée. 
Veuillez la remplacer.";"Es kann nicht gespeichert werden.

Die Memory Card (Speicherkarte)
in Steckplatz A ist beschädigt und
kann nicht verwendet werden.
Stecke bitte eine einwandfreie 
Memory Card (Speicherkarte) in
Steckplatz A.";
"セーブできません。

スロットＡには
メモリーカード以外のものが
ささっています。
スロットＡに
正常なメモリーカードを
差して下さい。 ";"The game cannot be saved.

The device inserted in Slot A is not
a Memory Card. Please insert a functional
Memory Card in Slot A.";"Impossible de sauvegarder.

L'objet inséré dans le Slot A n'est pas
valide. Remplacez-le par une Memory Card
(carte mémoire).";"Es kann nicht gespeichert werden.

Das Objekt in Steckplatz A wird nicht als
Memory Card (Speicherkarte) anerkannt.
Bitte stecke eine Memory Card
(Speicherkarte) ein.";
"セーブできません。

スロットＡのメモリーカードは
対応していません。
スロットＡに
正常なメモリーカードを
差して下さい。 ";"The game cannot be saved.

The Memory Card in Slot A cannot be used
with The Legend of Zelda: The Wind Waker.
Please insert a functional Memory Card in
Slot A.";"Impossible de sauvegarder.

La Memory Card (carte mémoire) insérée 
dans le Slot A n'est pas valide.
Veuillez la remplacer.";"Es kann nicht gespeichert werden.

Die Memory Card (Speicherkarte) in
Steckplatz A wird nicht unterstützt.
Stecke bitte eine einwandfreie 
Memory Card (Speicherkarte) in
Steckplatz A.";
"スロットＡのメモリーカードは
データがこわれているので
初期化が必要です。
初期化しますか？

 はい いいえ ";"The Memory Card in Slot A is corrupted
and needs to be formatted. Would you
like to format the Memory Card now?

 Yes No";"La Memory Card (carte mémoire) dans le
Slot A contient des données corrompues
et a besoin d'être formatée.
Formater?
 Oui Non";"Die Memory Card (Speicherkarte) in
Steckplatz A ist fehlerhaft und muss
formatiert werden.
Möchtest du jetzt formatieren?

 Ja Nein";
"スロットＡのメモリーカードに
空き容量がないか、ファイル数の
制限を越えてしまいます。
このゲームをセーブするには
ファイル１つと１２ブロックの
空き容量が必要です。";"There is not enough free space on the
Memory Card in Slot A. You need 1 save file
and 12 free blocks of memory to save
The Legend of Zelda: The Wind Waker.";"Il n'y a pas assez d'espace libre sur la 
Memory Card (carte mémoire) dans le
Slot A. Pour créer un nouveau fichier de
sauvegarde, 1 fichier libre et 12 blocs libres
sont nécessaires.";"Es befindet sich entweder nicht genügend
Platz auf der Memory Card (Speicherkarte)
in Steckplatz A oder die maximale Anzahl
an Spielständen ist überschritten.
Um dieses Spiel zu speichern, werden eine
freie Datei und zwölf Blöcke benötigt.";
"セーブできません。

スロットＡのメモリーカードは
このゲームでは使用できません。
スロットＡに
正常なメモリーカードを
差して下さい。";"The game cannot be saved.

The Memory Card in Slot A cannot
be used with this game. Please insert
a functional Memory Card in Slot A.";"Impossible de sauvegarder.

La Memory Card (carte mémoire) dans le 
Slot A ne peut être utilisée pour cette
partie. Veuillez la remplacer.";"Es kann nicht gespeichert werden.

Die Memory Card (Speicherkarte) in
Steckplatz A kann nicht für dieses Spiel
verwendet werden.
Stecke bitte eine einwandfreie 
Memory Card (Speicherkarte) in
Steckplatz A.";
"初期化すると
メモリーカード内の
データはすべて消えます。
よろしいですか？

 はい いいえ ";"If you format the Memory
Card, all previously saved
data will be lost. Are you
sure you want to format?

 Yes No";"Formater la Memory Card (carte mémoire) 
entraînera la perte de toutes les données
sauvegardées. 
Voulez-vous continuer?

 Oui Non";"Durch das Formatieren der Memory Card
(Speicherkarte) werden alle zuvor
gespeicherten Daten gelöscht.
Möchtest du trotzdem formatieren?

 Ja Nein ";
"初期化しています。

メモリーカードや
パワーボタンに
さわらないで下さい。";"Now formatting the Memory Card...

Do not touch the Memory Card or
the POWER Button.";"Formatage en cours. 

Ne touchez pas à la Memory Card 
(carte mémoire) dans le Slot A, ni au 
bouton POWER.";"Formatierung wird vorgenommen.

Bitte entferne nicht die Memory Card
(Speicherkarte) in Steckplatz A und
betätige nicht den POWER-Schalter.";
"初期化しました。";"The Memory Card has been formatted.";"Formatage terminé.";"Formatierung abgeschlossen.";
"初期化に
失敗した可能性があります。 ";"The Memory Card could not be formatted.";"Le formatage peut avoir échoué.";"Bei der Formatierung könnte eventuell
ein Fehler aufgetreten sein.";
"スロットＡのメモリーカードに
このゲームのファイルを
つくりますか？ 

 はい いいえ ";"Would you like to create a save file
for The Legend of Zelda: The Wind Waker
on the Memory Card in Slot A? 

 Yes No";"Voulez-vous créer un fichier de sauvegarde
sur la Memory Card (carte mémoire)
dans le Slot A?

 Oui Non";"Möchtest du eine Datei für dieses Spiel auf
der Memory Card (Speicherkarte) in
Steckplatz A anlegen?

 Ja Nein";
"セーブできません。

スロットＡのメモリーカードには
このゲームをセーブする
ファイルがありません。 ";"The game cannot be saved.

There is no save file for The Legend of
Zelda: The Wind Waker on the Memory Card
in Slot A.";"Impossible de sauvegarder.

Un fichier de sauvegarde doit être créé
afin de sauvegarder votre partie
sur la Memory Card (carte mémoire)
dans le slot A.";"Es kann nicht gespeichert werden.

Auf der Memory Card (Speicherkarte) in
Steckplatz A befindet sich keine Datei,
um dieses Spiel zu speichern.";
"ファイルをつくっています。

メモリーカードや
パワーボタンに
さわらないで下さい。";"Now creating a save file...

Do not touch the Memory Card or the
POWER Button.";"Création du fichier de sauvegarde en cours.

Ne touchez pas à la Memory Card 
(carte mémoire) dans le Slot A, ni au 
bouton POWER.";"Datei wird angelegt.

Bitte entferne nicht die Memory Card
(Speicherkarte) in Steckplatz A und
betätige nicht den POWER-Schalter.";
"ファイルをつくるのに
失敗した可能性があります。 ";"A save file for The Legend of Zelda:
The Wind Waker could not be created.";"La création du fichier peut avoir échoué.";"Es könnte eventuell ein Fehler
beim Anlegen der Datei für dieses
Spiel aufgetreten sein.";
"ファイルをつくりました。";"A save file has been created.";"Création du fichier terminée.";"Es wurde eine Datei für
dieses Spiel angelegt.";
"セーブしますか？";"Would you like to save?";"Sauvegarder?";"Möchtest du speichern?";
"セーブできません。

このデータは最後にセーブした
データではありません。 ";"The game could not be saved.

The Memory Card in Slot A does not
contain the save file you last used.";"Impossible de sauvegarder.

Ces données ne sont pas les 
dernières que vous avez 
sauvegardées dans le jeu.";"Es kann nicht gespeichert werden.

Dieser Spielstand stimmt nicht mit
dem zuletzt gespeicherten überein.";
"このデータはこわれています。
データの内容を消して
上書きしますか？ ";"The save file on the Memory Card in
Slot A is corrupted and cannot be
used. Would you like to erase this
save file and save over it?";"La Memory Card (carte mémoire)
dans le Slot A contient des données
corrompues.
Voulez-vous les effacer et remplacer
la sauvegarde existante?";"Dieser Spielstand ist beschädigt.
Möchtest du ihn löschen und
überschreiben?";
"セーブしています。
メモリーカードや
パワーボタンに
さわらないで下さい。 ";"Now saving...
Do not touch the Memory Card or
the POWER Button.";"Sauvegarde en cours.

Ne touchez pas à la Memory Card 
(carte mémoire) dans le Slot A, ni au
bouton POWER.";"Es wird gespeichert.
Bitte entferne nicht die Memory Card
(Speicherkarte) in Steckplatz A und
betätige nicht den POWER-Schalter.";
"セーブに失敗した可能性があります";"The game could not be saved.";"La sauvegarde peut avoir échoué.";"Es könnte eventuell ein Fehler
beim Speichern aufgetreten sein.";
"セーブしました。";"The game has been saved.";"Sauvegarde terminée.";"Speichervorgang abgeschlossen.";
"セーブしました。

ゲームを続けますか？ ";"The game has been saved.

Would you like to continue playing?";"Sauvegarde terminée.

Continuer la partie?";"Speichervorgang abgeschlossen.

Möchtest du das Spiel fortsetzen?";
"ゲームを続けますか？ ";"Would you like to continue playing?";"Continuer la partie?";"Möchtest du das Spiel fortsetzen?";
"南の妖精島にワープしますか？";"Warp to Southern
Fairy Island?";"Prendre la Tornade vers
l'Ilot Méridional des Fées?";"Zum Südlichen Feen-Cordial 
wirbeln?";
"チンクル島にワープしますか？";"Warp to Tingle Island?";"Prendre la Tornade vers
l'Ile de Tingle?";"Zu Tingles Insel
wirbeln?";
"このエリアにワープしますか？";"Warp to this area?";"Prendre la Tornade vers
cette zone?";"Hierhin wirbeln?";
"親子島にワープしますか？";"Warp to Mother & Child
Isles?";"Prendre la Tornade vers
l'Ile Géminée?";"Zur Mutter und Kind-Insel
wirbeln?";
"タウラ島にワープしますか？";"Warp to Windfall Island?";"Prendre la Tornade vers
Mercantîle?";"Nach Port Monee
wirbeln?";
"竜の島にワープしますか？";"Warp to Dragon Roost Island?";"Prendre la Tornade vers
l'Ile du Dragon?";"Nach Drakonia wirbeln?";
"魚の島にワープしますか？";"Warp to Greatfish Island?";"Prendre la Tornade vers
l'Ile du Poisson?";"Nach Ichthusk wirbeln?";
"神の塔にワープしますか？";"Warp to the Tower of
the Gods?";"Prendre la Tornade vers
la Tour des Dieux?";"Zum Turm der Götter
wirbeln?";
"森の島にワープしますか？";"Warp to the Forest Haven?";"Prendre la Tornade vers
l'Ile aux Forêts?";"Nach Tanntopia
wirbeln?";
"プロロ島にワープしますか？";"Warp to Outset Island?";"Prendre la Tornade vers
l'Ile de l'Aurore?";"Nach Präludien
wirbeln?";
"セーブして、２周目のゲームファイルを
作ります。今のデータも残したい時は
別のファイルにセーブしてください。
セーブしますか？ ";"The game will save and make a file
for a second play-through. To keep
current saved data, save over a new
Quest Log. Do you want to save?";"Sauvegarder et commencer une autre
partie. Si vous souhaitez conserver
les données présentes, sauvegardez-
les dans un autre fichier.
Sauvegarder? ";"Es wird ein Spielstand für den
2. Start kreiert. Wenn du deinen
bisherigen Spielstand erhalten
möchtest, solltest du auf einem
anderen Speicherplatz speichern.
Möchtest du jetzt speichern?";
"セーブせずに
タイトルにもどりますが
よろしいですか？";"Are you sure you want to return to
the title screen without saving?";"Retourner à l'écran titre
sans sauvegarder?";"Ohne Speichern zum Titelbildschirm
zurückkehren?";
"どのファイルにセーブしますか？";"Choose a Quest Log.";"Choisir un fichier.";"Wo willst du speichern?";
"このデータに上書きセーブしますか？";"Save over this data?";"Remplacer la sauvegarde existante?";"Spielstand überschreiben?";
"セーブしています";"Saving...";"Sauvegarde en cours.";"Es wird gespeichert.";
"セーブしました";"The game was saved.";"Partie sauvegardée.";"Speichervorgang abgeschlossen.";
"竜の山のほこら";"Dragon Roost Cavern";"Caverne du Dragon";"Drako-Sanktuarium";
"禁断の森";"Forbidden Woods";"Bois Défendus";"Verbotener Hain";
"神の塔";"Tower of the Gods";"Tour des Dieux";"Turm der Götter";
"大地の神殿";"Earth Temple";"Temple de la Terre";"Terratempel";
"風の神殿";"Wind Temple";"Temple du Vent";"Zephirtempel";
"ガノン城";"Ganon's Tower";"Château de Ganon";"Ganons Kastell";
"[Analog] ワープ場所を選択　[A] 決定　[B] やめる";"[Analog] Pick Warp [A] Decide [B] Cancel";"[Analog]  Choisir une destination. [A]  Confirmer. [B]  Annuler.";"[Analog] Ziel wählen [A] Auswahl [B] Abbrechen";
"メモリーカードの内容の整理は
本体のメモリーカード画面で
おこなってください。 ";"To manage the contents of your Memory
Card, use the Nintendo GameCube
system Memory Card screen. Press and hold
the A Button while powering-on the system
to access the Memory Card screen.";"Pour gérer le contenu de votre Memory Card
(carte mémoire), utilisez l'Ecran Memory 
Card. ";"Bitte rufe das Memory Card (Speicher-
karten)-Menü auf, um die Inhalte deiner
Memory Card (Speicherkarte) zu verwalten.
Drücke und halte dazu den A-Knopf
gedrückt, während du den POWER-
Schalter betätigst.";
"本体のメモリーカード画面を
開きますか？
（本体のメモリーカード画面は
Ａボタンを押したまま
パワーボタンを入れ直しても
開くことができます。） 

 はい いいえ ";"Open the system Memory Card screen now?

 Yes No";"Faire apparaître l'Ecran Memory Card?
L'Ecran Memory Card peut apparaître même
si vous maintenez le bouton A enfoncé et
appuyez sur le bouton POWER.

 Oui Non";"Soll das Memory Card (Speicherkarten)-
Menü des NINTENDO GAMECUBE aufgerufen
werden?

(Halte den A-Knopf gedrückt, während du
den POWER-Schalter betätigst.)

 Ja Nein";
"スロットＡに空き容量がある
メモリーカードを差すか
メモリーカード内容の整理を
本体のメモリーカード画面で
おこなってください。";"Please insert a Memory Card with enough
free space into Slot A or manage your
Memory Card data on the system Memory
Card screen.";"Veuillez insérer une Memory Card (carte
mémoire) ayant assez d'espace libre dans le
Slot A ou gérer le contenu de votre Memory
Card (carte mémoire) sur l'Ecran Memory 
Card.
";"Bitte stecke eine Memory Card (Speicher-
karte) mit ausreichend freiem Speicherplatz
in Steckplatz A oder rufe das Memory Card
(Speicherkarten)-Menü auf,
um die Inhalte deiner Memory Card
(Speicherkarte) zu verwalten.";
"本体のメモリーカード画面を
開きますか？
（本体のメモリーカード画面は
Ａボタンを押したまま
パワーボタンを入れ直しても
開くことができます。） 

 はい いいえ ";"Open the system Memory Card screen now?

 Yes No";"Faire apparaître l'Ecran Memory Card?
L'Ecran Memory Card peut apparaître même
si vous maintenez le bouton A enfoncé 
et appuyez sur le bouton POWER. 

 Oui Non";"Soll das Memory Card (Speicherkarten)-
Menü des NINTENDO GAMECUBE aufgerufen
werden?

(Halte den A-Knopf gedrückt, während du
den POWER-Schalter betätigst.)

 Ja Nein";
"現在のゲーム内容は
セーブできませんが
よろしいですか？ 

 はい いいえ ";"You cannot save your game progress.
Do you want to continue anyway? 

 Yes No";"Les données de la partie en cours ne 
seront pas sauvegardées.
Continuer? 

 Oui Non";"Du kannst deinen momentanen Fortschritt
nicht speichern. Bist du einverstanden?

 Ja Nein";
"緑ルピーを手に入れた
１ルピーだ！
たくさん集めよう！";"You got a Green Rupee!
That's worth 1 Rupee!
Better collect lots of them!";"Vous obtenez un Rubis Vert!
Le Rubis est la monnaie de ce jeu.
Tentez d'en trouver le plus possible!";"Du hast einen Grünen Rubin gefunden!
Das ist die Währung dieses Landes!
Sammle so viele wie möglich!";
"青ルピーを手に入れた
５ルピーだ！
チョッピリ、うれしい";"You got a Blue Rupee!
That's worth 5 Rupees.
Not too bad, huh?";"Vous obtenez un Rubis Bleu!
Un Rubis Bleu vaut 5 Rubis Verts.
C'est bien!";"Du hast einen Blauen Rubin gefunden!
Er ist so viel wert wie 5 Grüne
Rubine! Da kommt Freude auf!";
"黄ルピーを手に入れた
１０ルピーだ！
うれしい";"You got a Yellow Rupee!
That's worth 10 Rupees.
Not too shabby!";"Vous obtenez un Rubis Jaune!
Un Rubis Jaune vaut 10 Rubis Verts.
C'est super!";"Du hast einen Gelben Rubin gefunden!
Er ist so viel wert wie 10 Grüne
Rubine! Ein Grund zum Feiern!";
"赤ルピーを手に入れた
２０ルピーだ！
意外とうれしい";"You got a Red Rupee!
That's 20 Rupees.
What a pleasant surprise!";"Vous obtenez un Rubis Rouge!
Un Rubis Rouge vaut 20 Rubis Verts.
C'est formidable!";"Du hast einen Roten Rubin gefunden!
Er ist so viel wert wie 20 Grüne
Rubine! Was für ein Glückstag!";
"紫ルピーを手に入れた
５０ルピーだ！
けっこううれしい";"You got a Purple Rupee!
That's worth 50 Rupees.
That's just great!";"Vous obtenez un Rubis Violet!
Un Rubis Violet vaut 50 Rubis Verts.
C'est fantastique!";"Du hast einen Violetten Rubin
gefunden! Er ist so viel wert wie
50 Grüne Rubine! Ein breites Grinsen
ziert dein Gesicht!";
"オレンジルピーを手に入れた
１コで１００ルピーだ！
顔がニヤける";"You got an Orange Rupee!
Just one of these is worth
100 Rupees! Your face is beaming!";"Vous obtenez un Rubis Orange!
Un Rubis Orange vaut
100 Rubis Verts. C'est grandiose!";"Du hast einen Orangen Rubin
gefunden! Er ist so viel wert wie
100 Grüne Rubine! Du könntest vor
Freude in die Luft springen!";
"ハートのかけらを手に入れた！
４つのかけらで　１つの器
器が増えれば　ライフが増える！";"You got a Piece of Heart!
Collect four of these to complete a
new Heart Container. More Heart
Containers equals more life!";"Vous obtenez un Quart de Cœur!
4 Quarts de Coeur vous donnent un
Réceptacle de Coeur. Un Réceptacle
de plus augmente votre jauge
d'Energie Vitale.";"Du hast ein Herzteil gefunden!
Jeweils vier Herzteile fügen sich zu
einem Herzcontainer zusammen.

Das bedeutet mehr Energie, also
immer fleißig suchen!";
"ハートの器を手に入れた！
ライフが１つ増えた！
おまけに　体力　全回復！";"You got a Heart Container!
Your life energy has increased by
one! Plus, your life gauge has been
replenished!";"Vous obtenez un Réceptacle de Cœur!
Votre Energie Vitale 
augmente d'un Cœur! Et votre jauge
d'Energie Vitale est remplie!";"Du hast einen Herzcontainer gefunden!
Damit erhöht sich deine Energie um 1!
Zusätzlich wird deine Herzleiste
wieder vollständig aufgefüllt!";
"シルバールピーを手に入れた
１コでなんと、２００ルピー！
もう、叫びたい！！！";"You got a Silver Rupee!
One is worth a whopping 200 Rupees!
It's time to jump for joy!";"Vous obtenez un Rubis Argenté!
Un Rubis Argenté vaut
200 Rubis Verts. C'est grandiose!";"Du hast einen Silbernen Rubin
gefunden! Er ist so viel wert wie
200 Grüne Rubine! Mehr Glück kann
dir kaum widerfahren!";
